name,code,rgb,hex
"Heavenly Aromas","RD-W11","238,223,213","#eedfd5"
"Soft Sunrise","RD-W12","242,227,216","#f2e3d8"
"Almond Kiss","RD-W13","246,227,212","#f6e3d4"
"Aria Ivory","RD-W14","249,232,216","#f9e8d8"
"Tutti Frutti","G-100","188,88,123","#bc587b"
"Orchid Rose","G-110","188,76,102","#bc4c66"
"Strawberry Daiquiri","G-120","162,61,80","#a23d50"
"Luscious","G-130","144,61,73","#903d49"
"Cherry Cobbler","G-140","136,63,65","#883f41"
"Ruby Ring","G-150","160,61,65","#a03d41"
"California Poppy","G-160","168,60,63","#a83c3f"
"Licorice Stick","G-170","181,62,61","#b53e3d"
"Grenadine","G-180","202,64,58","#ca403a"
"Red Hot","G-190","209,76,56","#d14c38"
"Glowing Firelight","G-200","189,84,60","#bd543c"
"Volcanic Blast","G-210","225,88,53","#e15835"
"Sweet Mandarin","G-220","211,94,58","#d35e3a"
"Startling Orange","G-230","229,97,49","#e56131"
"Dragon Fire","G-240","240,111,51","#f06f33"
"Solar Flare","G-250","230,124,65","#e67c41"
"Citrus Blast","G-260","225,121,58","#e1793a"
"Summer Citrus","G-270","248,130,42","#f8822a"
"Mango Madness","G-280","253,140,40","#fd8c28"
"Orange Peel","G-290","255,158,20","#ff9e14"
"Hawaiian Passion","G-300","255,160,62","#ffa03e"
"Peach Butter","G-310","255,172,58","#ffac3a"
"Atomic Tangerine","G-320","255,155,5","#ff9b05"
"Instant Delight","G-330","255,167,0","#ffa700"
"Sun Ray","G-340","255,178,25","#ffb219"
"Desert Glow","G-350","255,176,0","#ffb000"
"Bright Star","G-360","255,204,60","#ffcc3c"
"Citrus Splash","G-370","255,196,0","#ffc400"
"Sunny Summer","G-380","255,201,0","#ffc900"
"Lemon Zest","G-390","254,212,27","#fed41b"
"Lime Pop","G-400","204,203,47","#cccb2f"
"Green Crush","G-410","168,194,60","#a8c23c"
"Limeade","G-420","142,186,61","#8eba3d"
"Sparkling Apple","G-430","119,178,68","#77b244"
"Green Acres","G-440","83,161,68","#53a144"
"Herbal Tea","G-450","42,156,96","#2a9c60"
"Mint Sprig","G-460","0,156,110","#009c6e"
"Festive Green","G-470","0,140,108","#008c6c"
"Aqua Waters","G-480","0,147,125","#00937d"
"Intense Teal","G-490","0,151,140","#00978c"
"Tropical Waters","G-500","0,124,126","#007c7e"
"Beach Towel","G-510","0,121,133","#007985"
"Blue Luxury","G-520","0,117,147","#007593"
"Glacier Lake","G-530","0,113,150","#007196"
"Song Bird","G-540","0,120,175","#0078af"
"Artesian Water","G-550","0,125,182","#007db6"
"Jazz Blue","G-560","26,106,159","#1a6a9f"
"Sapphire Lace","G-570","35,92,142","#235c8e"
