code,hex,collection,name,description,lrv,usage,url
DEHW01,#ECEBE3,Perfect Palette,ALMOND MILK,"Almond Milk is an inviting, soft white color with a hint of warmth and part of our High Hide Whites Collection. With its creamy undertones and just a hint of yellow, Almond Milk adds depth and dimension to any space. As an excellent multipurpose white, Almond Milk works with a range of design styles including Traditional farmhouse and Modern loft aesthetics. This soft white color is a popular choice for walls, ceiling, trim and cabinetry and is a perfect all-over color for an open space plan.",,,https://www.dunnedwards.com/colors/browser/dehw01/
DEHW02,#EFEFEA,Perfect Palette,WHITE DAISY,"White Daisy is a refreshing white color with just a subtle hint of warmth and part of our High Hide Whites Collection. Delivering style and sophistication, White Daisy plays well with other colors, yet can stand on its own. Add White Daisy to a modern space for a clean look or to a traditional beachside cottage to balance out blue and green color schemes. Does your room face east or north? These rooms don’t get as much warm, natural light so to counterbalance these cooler, shady rooms, try White Daisy.",,,https://www.dunnedwards.com/colors/browser/dehw02/
DEHW03,#EFEFE8,Perfect Palette,COCONUT GROVE,"Coconut Grove is a clean white color with just a subtle hint of warmth and part of our High Hide Whites Collection. As a classic go-to white that appears clean and neutral in most lighting situations, Coconut Grove is an ideal color choice for dark wood accents and other natural materials. This elegant white color is also an excellent choice to pair with pastel color schemes.",,,https://www.dunnedwards.com/colors/browser/dehw03/
DEHW04,#E8E9E4,Perfect Palette,SWISS MERINGUE,"Swiss Meringue is a neutral, soft white color that balances warmth and coolness and is part of our High Hide Whites Collection. This alabaster shade of white is a versatile hue that can effortlessly pair with industrial design elements like metal or rustic elements like distressed woods. With its neutrality and very little undertones, Swiss Meringue is a perfect color choice for an all-white aesthetic or as a complement to jewel tones.",,,https://www.dunnedwards.com/colors/browser/dehw04/
DEHW05,#EBEBE6,Perfect Palette,AT FIRST LIGHT,"At First Light is a neutral white color with depth and part of our High Hide Whites Collection. As a neutral color, At First Light is a white color that can work with any design style and is perfect for both traditional and contemporary design projects. The softness of this neutral white color make it an ideal choice to design spaces that feels open and airy without feeling cold and complements spaces that get a lot of natural lighting.",,,https://www.dunnedwards.com/colors/browser/dehw05/
DEHW06,#E9EBE8,Perfect Palette,NORTH TO ALASKA,"North to Alaska is a cool, crisp and clean white color with a touch of gray and part of our High Hide Whites Collection. Reminding one of a snowy morning, this bright white color is versatile and will work for any design aesthetic. North to Alaska is a fresh, clean and modern white color, which makes it an excellent choice for trim and cabinetry, as well as modern and contemporary open spaces. This white color also pairs well with cool colors such as grays and blues.",,,https://www.dunnedwards.com/colors/browser/dehw06/
DEHW07,#ECEEEA,Perfect Palette,SUGAR SWIZZLE,"Sugar Swizzle color is a clean, cooler white with a subtle touch of gray undertones, offering both versatility and charm. This classic white has depth, making it a refreshing choice for modern spaces, particularly in open floor plans. Its light, airy quality is perfect for creating serene, minimalist atmospheres, while its muted sophistication makes it an excellent neutral backdrop. Whether used on its own or paired with other whites or cool grays, Sugar Swizzle lends elegance and dimension to any room without feeling too stark or cold.",,,https://www.dunnedwards.com/colors/browser/dehw07/
DEHW08,#ECEEEC,Perfect Palette,CLASSIC WHITE,"Classic White is a cooler, neutral white color and is part of our High Hide Whites Collection. Inspired by classic elegance and clean architecture, Classic White is a snowy white color and the ideal neutral shade for bright and airy spaces and is a perfect blank canvas for art-filled spaces. This cool white color is illuminating and pure, making it an ideal white color for whole home design or for use on trim, ceilings and cabinetry.",,,https://www.dunnedwards.com/colors/browser/dehw08/
DEHW09,#ECEDEA,Perfect Palette,BE COOL,"Be Cool is a cool, crisp white color and is part of our High Hide Whites Collection. Brilliant and sparkling with energy, Be Cool is an ideal white color for use on trim work and cabinetry. The more neutral, reflective quality of this cool white makes it a perfect choice for contemporary and modern architecture. This clean white pairs beautifully with grays and other cool color shades. Is your room south-facing? Cool white colors such as Be Cool are ideal choices to counterbalance the natural warming tones from southern exposure.",,,https://www.dunnedwards.com/colors/browser/dehw09/
DEHW10,#EAEBE8,Perfect Palette,ICY WHITE,"Icy White is a cool, snowy clean white color and is part of our High Hide Whites Collection. This cool, brilliant white conjures up images of winter wonderlands and provides a welcome ambiance to modern spaces. This versatile white color provides the perfect backdrop to artwork and brightens a room with limited natural lighting.",,,https://www.dunnedwards.com/colors/browser/dehw10/
DEW300,#FFF4F3,Perfect Palette,COY,"Coy is a pastel-tinted white color with pink undertones and part of our Whites Collection. With its soft, subtle tint of color, Coy is a delicate, pastel white color that is versatile enough to use as a wall color or cabinetry. With the continuing trend of pink hues everywhere, Coy is an ideal choice to bring in just a hint of color for modern design styles, as well and traditional historic architecture such as Victorian and Craftsman.",,Interior Use Only,https://www.dunnedwards.com/colors/browser/dew300/
DEW301,#FFF0EA,Perfect Palette,STRAWBERRY DUST,"Strawberry Dust is a precious, warm white paint color with pink undertones. This sweet tart pink has a barely there quality, with an energetic and playful energy that is just waiting for its moment to shine.",,,https://www.dunnedwards.com/colors/browser/dew301/
DEW302,#FDEFE9,Perfect Palette,ROMANTIC,,,,https://www.dunnedwards.com/colors/browser/dew302/
DEW303,#FAEAE2,Perfect Palette,DOGWOOD,,,,https://www.dunnedwards.com/colors/browser/dew303/
DEW304,#FFF4E8,Perfect Palette,WHAT'S LEFT,,,,https://www.dunnedwards.com/colors/browser/dew304/
DEW305,#FFF8EE,Perfect Palette,SATIN PURSE,,,,https://www.dunnedwards.com/colors/browser/dew305/
DEW306,#FFF7E7,Perfect Palette,SHEER PEACH,,,,https://www.dunnedwards.com/colors/browser/dew306/
DEW307,#FAEADD,Perfect Palette,ROSARIAN,,,,https://www.dunnedwards.com/colors/browser/dew307/
DEW308,#FBE9D8,Perfect Palette,POPPY CREPE,,,,https://www.dunnedwards.com/colors/browser/dew308/
DEW309,#FAECD9,Perfect Palette,AJO LILY,"Ajo Lily is a tinted warm white with a touch of yellow color and part of the Whites Collection. Also called desert lily, this warm white is perfect for a desert modern or Bohemian design styled home paired with layers of muted warm, rosy neutrals, sage greens and misted violets to complete a well-rounded color palette.",,,https://www.dunnedwards.com/colors/browser/dew309/
DEW310,#F3E7DB,Perfect Palette,ALABASTER,"Alabaster is a soft, off-white color with a hint of beige undertones and part of the Whites Collection. A simple neutral hue with a touch of warmth allows Alabaster to be the perfect backdrop color to highlight any design aesthetic. Try Alabaster on kitchen cabinetry or pair with décor and other warmer paint colors for a flawless finish.",,Interior Use Only,https://www.dunnedwards.com/colors/browser/dew310/
DEW311,#F1E7DB,Perfect Palette,FRENCH WHITE,"Ooh la la! This barely blushing, warm white paint color has a subtle touch of rose. French White is a cozy, elegant, and traditional color.",,,https://www.dunnedwards.com/colors/browser/dew311/
DEW312,#F6EAD8,Perfect Palette,TOTAL RECALL,,,,https://www.dunnedwards.com/colors/browser/dew312/
DEW313,#FDF3E4,Perfect Palette,EARLY SNOW,,,,https://www.dunnedwards.com/colors/browser/dew313/
DEW314,#F9F0E1,Perfect Palette,DESERT STAR,,,,https://www.dunnedwards.com/colors/browser/dew314/
DEW315,#F8EEE3,Perfect Palette,WHITE ZIN,,,,https://www.dunnedwards.com/colors/browser/dew315/
DEW316,#F9F2E7,Perfect Palette,POWDERED,,,,https://www.dunnedwards.com/colors/browser/dew316/
DEW317,#FFF9EC,Perfect Palette,DAY LILY,,,,https://www.dunnedwards.com/colors/browser/dew317/
DEW318,#F7EFDD,Perfect Palette,COTTAGE WHITE,"Cottage White color is a soft warm white with a touch of yellow and part of the Whites Collection. With its soft, warm undertones, Cottage White looks lovely in bedrooms where it adds a warm glow to the welcoming retreat.",,,https://www.dunnedwards.com/colors/browser/dew318/
DEW319,#FBF1DF,Perfect Palette,DAMASK,,,,https://www.dunnedwards.com/colors/browser/dew319/
DEW320,#FFF8E3,Perfect Palette,PINCH OF PEARL,,,,https://www.dunnedwards.com/colors/browser/dew320/
DEW321,#FFFDEB,Perfect Palette,SPARKLING CIDER,,,Interior Use Only,https://www.dunnedwards.com/colors/browser/dew321/
DEW322,#FFF9E4,Perfect Palette,MAGNOLIA,Magnolia is an ivory off-white and part of our Whites collection. This soft white is a reminder of that the first hints of spring are the many trees and flowers that begin to bloom. Try Magnolia as a warmer white option throughout your home interior.,,Interior Use Only,https://www.dunnedwards.com/colors/browser/dew322/
DEW323,#FFF6DA,Perfect Palette,IVORY CHARM,,,Interior Use Only,https://www.dunnedwards.com/colors/browser/dew323/
DEW324,#F7EFDE,Perfect Palette,PHOENIX VILLA,,,,https://www.dunnedwards.com/colors/browser/dew324/
DEW325,#FFFBF0,Perfect Palette,VANILLA SHAKE,"Vanilla Shake is a natural, milky white color with a touch of warmth and part of our Whites Collection. With its mildly warm undertones, this color creates an inviting and elegant scene. Inherently versatile and tranquil, paint Vanilla Shake throughout the home for a sense of calm.",,,https://www.dunnedwards.com/colors/browser/dew325/
DEW326,#F6EEDF,Perfect Palette,BIRCH WHITE,"Birch White color is an off-white and is part of our Whites Collection. Inspired by the birch trees that look so beautiful in the fall with the white bark and yellow leaves. If you’re looking for a creamier, warm white, try Birch White.",,,https://www.dunnedwards.com/colors/browser/dew326/
DEW327,#FAF0DB,Perfect Palette,LILY,,,,https://www.dunnedwards.com/colors/browser/dew327/
DEW328,#F6EBD7,Perfect Palette,PEARL WHITE,"Pearl White color is a creamy warm white and part of our Whites Collection. Inspired by the white color of precious pearls, Pearl White paint creates an understated, calming backdrop on a home's interior walls. A great choice for a traditional or beach home as a base color. Pair with cool blues and grays to balance out the warmth.",,,https://www.dunnedwards.com/colors/browser/dew328/
DEW329,#F6ECD6,Perfect Palette,WAX WING,,,,https://www.dunnedwards.com/colors/browser/dew329/
DEW330,#FFF9E2,Perfect Palette,SNUG COTTAGE,,,Interior Use Only,https://www.dunnedwards.com/colors/browser/dew330/
DEW331,#FFFFE9,Perfect Palette,WEDDING DRESS,,,Interior Use Only,https://www.dunnedwards.com/colors/browser/dew331/
DEW332,#FFFAE5,Perfect Palette,LEAD GLASS,,,Interior Use Only,https://www.dunnedwards.com/colors/browser/dew332/
DEW333,#FAF7E2,Perfect Palette,DIAMOND,,,Interior Use Only,https://www.dunnedwards.com/colors/browser/dew333/
DEW334,#FFFCE3,Perfect Palette,CLEAR DAY,,,Interior Use Only,https://www.dunnedwards.com/colors/browser/dew334/
DEW335,#FBF9E1,Perfect Palette,ICICLE,,,Interior Use Only,https://www.dunnedwards.com/colors/browser/dew335/
DEW336,#F5EBD8,Perfect Palette,WHITE SAND,"White Sand is an off-white color and part of the Whites Collection. As a warm, understated color, White Sand appeals to both traditional and modern design styles. Create a neutral backdrop to traditional design spaces using this off white color or pair with a deep color for a high-contrast look.",,,https://www.dunnedwards.com/colors/browser/dew336/
DEW337,#FFFDF2,Perfect Palette,GARDENIA,"Gardenia color is a bright, warm white and part of our Whites collection. Pair Gardenia with warm woods and pattern to create a cozy retreat.",,,https://www.dunnedwards.com/colors/browser/dew337/
DEW338,#FDF9EF,Perfect Palette,WHITE HEAT,"White Heat is a beachy, bright warm white color and part of our Whites Collection. With the touch of warmth highlighted in this color, White Heat is perfect, classic choice for brighter spaces with lots of natural light and is an effortless choice for Spanish and Mediterranean architectural styles.",,,https://www.dunnedwards.com/colors/browser/dew338/
DEW339,#F3EDDE,Perfect Palette,BONE CHINA,"Bone China is a warm off white and part of the Whites Collection. Understated and elegant, Bone China is extremely versatile and neither too warm nor cool. Try Bone China as a whole home neutral color for a calming retreat that is balanced. This fail-safe color also pairs well with sage greens and gray blues for a coastal aesthetic.",,,https://www.dunnedwards.com/colors/browser/dew339/
DEW340,#FDFAF1,Perfect Palette,WHISPER,"Whisper color is one of our most popular bright, warm whites and part of our Whites collection. Try Whisper as a wall, trim or accent color just about anywhere you want a shot of white inside or outside the home.",,,https://www.dunnedwards.com/colors/browser/dew340/
DEW341,#F8F5E9,Perfect Palette,SWISS COFFEE,"Swiss Coffee color is a warm white with creamy undertones and part of the Whites Collection. As one of our legacy colors that has been part of Dunn-Edwards history for decades, Swiss Coffee adds just the right amount of warmth while still feeling neutral and crisp. This neutral white is a customer favorite, for good reason. The color of fresh cream, Swiss Coffee is a casual, soft white that is versatile and adds a sense of depth when paired with lighter or darker neutrals.",,,https://www.dunnedwards.com/colors/browser/dew341/
