source_anchor_slug,source_anchor_code,source_anchor_name,source_family,source_url,a_slug,a_code,a_name,a_rgb,a_hex,b_slug,b_code,b_name,b_rgb,b_hex
de5000,DEW-5000,Bashful,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5000/,de5000,DEW-5000,Bashful,,FEE8F5,de6029,DEW-6029,Trim,"rgb(237,226,224)",EDE2E0
de5000,DEW-5000,Bashful,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5000/,de5000,DEW-5000,Bashful,,FEE8F5,de6030,DEW-6030,Accent,"rgb(226,213,211)",E2D5D3
de5000,DEW-5000,Bashful,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5000/,de6029,DEW-6029,Trim,"rgb(237,226,224)",EDE2E0,de6030,DEW-6030,Accent,"rgb(226,213,211)",E2D5D3
de5001,DEW-5001,Spring Lilac,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5001/,de5001,DEW-5001,Spring Lilac,,F9D7EE,dew399,DEW-399,Trim,"rgb(248,238,244)",F8EEF4
de5001,DEW-5001,Spring Lilac,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5001/,de5001,DEW-5001,Spring Lilac,,F9D7EE,de6359,DEW-6359,Accent,"rgb(216,218,219)",D8DADB
de5001,DEW-5001,Spring Lilac,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5001/,dew399,DEW-399,Trim,"rgb(248,238,244)",F8EEF4,de6359,DEW-6359,Accent,"rgb(216,218,219)",D8DADB
de5002,DEW-5002,Light Lavender,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5002/,de5002,DEW-5002,Light Lavender,,F1BFE2,dew340,DEW-340,Trim,"rgb(253,250,241)",FDFAF1
de5002,DEW-5002,Light Lavender,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5002/,de5002,DEW-5002,Light Lavender,,F1BFE2,de6191,DEW-6191,Accent,"rgb(226,216,195)",E2D8C3
de5002,DEW-5002,Light Lavender,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5002/,dew340,DEW-340,Trim,"rgb(253,250,241)",FDFAF1,de6191,DEW-6191,Accent,"rgb(226,216,195)",E2D8C3
de5003,DEW-5003,Exotic Violet,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5003/,de5003,DEW-5003,Exotic Violet,,E1A0CF,dew340,DEW-340,Trim,"rgb(253,250,241)",FDFAF1
de5003,DEW-5003,Exotic Violet,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5003/,de5003,DEW-5003,Exotic Violet,,E1A0CF,de6030,DEW-6030,Accent,"rgb(226,213,211)",E2D5D3
de5003,DEW-5003,Exotic Violet,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5003/,dew340,DEW-340,Trim,"rgb(253,250,241)",FDFAF1,de6030,DEW-6030,Accent,"rgb(226,213,211)",E2D5D3
de5004,DEW-5004,Peruvian Lily,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5004/,de5004,DEW-5004,Peruvian Lily,,CD7DB5,dew399,DEW-399,Trim,"rgb(248,238,244)",F8EEF4
de5004,DEW-5004,Peruvian Lily,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5004/,de5004,DEW-5004,Peruvian Lily,,CD7DB5,de6345,DEW-6345,Accent,"rgb(210,213,218)",D2D5DA
de5004,DEW-5004,Peruvian Lily,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5004/,dew399,DEW-399,Trim,"rgb(248,238,244)",F8EEF4,de6345,DEW-6345,Accent,"rgb(210,213,218)",D2D5DA
de5005,DEW-5005,Brandywine,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5005/,de5005,DEW-5005,Brandywine,,B35E97,dew340,DEW-340,Trim,"rgb(253,250,241)",FDFAF1
de5005,DEW-5005,Brandywine,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5005/,de5005,DEW-5005,Brandywine,,B35E97,de6227,DEW-6227,Accent,"rgb(212,208,197)",D4D0C5
de5005,DEW-5005,Brandywine,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5005/,dew340,DEW-340,Trim,"rgb(253,250,241)",FDFAF1,de6227,DEW-6227,Accent,"rgb(212,208,197)",D4D0C5
de5006,DEW-5006,Plum Passion,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5006/,de5006,DEW-5006,Plum Passion,,9B4B80,dew346,DEW-346,Trim,"rgb(247,241,226)",F7F1E2
de5006,DEW-5006,Plum Passion,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5006/,de5006,DEW-5006,Plum Passion,,9B4B80,de6129,DEW-6129,Accent,"rgb(205,185,162)",CDB9A2
de5006,DEW-5006,Plum Passion,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5006/,dew346,DEW-346,Trim,"rgb(247,241,226)",F7F1E2,de6129,DEW-6129,Accent,"rgb(205,185,162)",CDB9A2
de5007,DEW-5007,Pale Blossom,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5007/,de5007,DEW-5007,Pale Blossom,,FDE1F0,dew302,DEW-302,Trim,"rgb(253,239,233)",FDEFE9
de5007,DEW-5007,Pale Blossom,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5007/,de5007,DEW-5007,Pale Blossom,,FDE1F0,de6134,DEW-6134,Accent,"rgb(245,230,211)",F5E6D3
de5007,DEW-5007,Pale Blossom,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5007/,dew302,DEW-302,Trim,"rgb(253,239,233)",FDEFE9,de6134,DEW-6134,Accent,"rgb(245,230,211)",F5E6D3
