hex1,hex2
A59344,FFFBF0
A59344,E5DA9F
FFFBF0,E5DA9F
EED9D1,F7F6F1
EED9D1,C5C0AC
F7F6F1,C5C0AC
F8F3F6,D6C0A4
EDE9DD,F7F6F1
EDE9DD,D8C7B6
F7F6F1,D8C7B6
EDA740,FFFBEE
EDA740,D8C7B6
FFFBEE,D8C7B6
B3E1E8,F8F5E9
B3E1E8,D5C6BD
F8F5E9,D5C6BD
B0B9C1,FFFDF2
B0B9C1,C89672
FFFDF2,C89672
50647F,F4F1EB
50647F,BAB6A9
F4F1EB,BAB6A9
FB9587,F7F6F1
FB9587,D5C6BD
F7F6F1,D5C6BD
D1B791,FDF3E4
D1B791,87A1B1
FDF3E4,87A1B1
E5C1A7,FFFBF0
E5C1A7,DCD8C7
FFFBF0,DCD8C7
508FA2,FFFCEC
508FA2,EDD2A3
FFFCEC,EDD2A3
E3F5E5,FDFAF1
E3F5E5,D9DFE3
FDFAF1,D9DFE3
33616A,F7F6F1
33616A,CEBE9F
F7F6F1,CEBE9F
FFF6B9,FDFAF1
FFF6B9,DCD8C7
FDFAF1,DCD8C7
B0C6DF,F4F0E8
B0C6DF,D4CEBF
F4F0E8,D4CEBF
96A69F,E5EBE6
96A69F,D1DAD5
E5EBE6,D1DAD5
898253,FDF6E7
898253,E1DDBF
FDF6E7,E1DDBF
6C6956,F3F0E8
6C6956,D2CFC1
F3F0E8,D2CFC1
9D7147,E2D8C2
9D7147,BCA380
E2D8C2,BCA380
D8F2EE,F5EAE3
D8F2EE,D6C3B9
F5EAE3,D6C3B9
FAECD9,F7F6F1
FAECD9,D5C7B3
F7F6F1,D5C7B3
F3E7DB,F7F6F1
F3E7DB,EEE2D5
F7F6F1,EEE2D5
CA9234,E5DFCD
CA9234,C7BDA8
E5DFCD,C7BDA8
CDDCED,FAF7F0
CDDCED,DFC6AA
FAF7F0,DFC6AA
F8CDAA,FAF3E6
F8CDAA,CEBE9F
FAF3E6,CEBE9F
FFF7D8,FDFAF1
FFF7D8,FFE1A3
FDFAF1,FFE1A3
977B4D,F7F6F1
977B4D,D5DBD5
F7F6F1,D5DBD5
EEC87C,FFF8E3
EEC87C,FFECC2
FFF8E3,FFECC2
EDDCC8,FFF9E4
EDDCC8,C6DCC7
FFF9E4,C6DCC7
D6C0A4,F5E9D9
D6C0A4,C5C0AC
F5E9D9,C5C0AC
FEDEBC,FFFDF2
DCF2E3,FFFCE3
DCF2E3,E2D8C3
FFFCE3,E2D8C3
B8BA87,FDFAF1
B8BA87,F2E0C5
FDFAF1,F2E0C5
E9AA91,F5EBE1
E9AA91,D8C7B6
F5EBE1,D8C7B6
F9EDE2,FDFAF1
F9EDE2,E1CBB6
FDFAF1,E1CBB6
DED3E6,F3F0E8
DED3E6,D2CFC1
F3F0E8,D2CFC1
806568,FFFEED
806568,D4C0C5
FFFEED,D4C0C5
F6BC77,FFF9EC
F6BC77,D8C7B6
FFF9EC,D8C7B6
FFAFA3,FFF3F0
FFAFA3,D6C3B9
FFF3F0,D6C3B9
FFF4EB,F7F6F1
FFF4EB,F7D8C4
F7F6F1,F7D8C4
0477B4,FDFAF1
0477B4,D6BA9B
FDFAF1,D6BA9B
BD97CF,F4F0E8
BD97CF,BBB3A2
F4F0E8,BBB3A2
EE5851,F7EFDE
EE5851,D8C7B6
F7EFDE,D8C7B6
596062,F4EAF0
596062,CDBACB
F4EAF0,CDBACB
9EBBCD,FFFDF2
9EBBCD,D6C3B9
FFFDF2,D6C3B9
746550,F7F6F1
746550,D8CFC1
F7F6F1,D8CFC1
F5E6DE,FDFAF1
F5E6DE,DDC3B7
FDFAF1,DDC3B7
F4EFEE,F7F6F1
F4EFEE,D2D2DF
F7F6F1,D2D2DF
EBE9D8,F0EFEB
EBE9D8,D8CEB9
F0EFEB,D8CEB9
BA8A45,F4F0E1
BA8A45,CBB68F
F4F0E1,CBB68F
ECAE58,FFFDEB
ECAE58,FFF3D5
FFFDEB,FFF3D5
FDF6E7,F7F6F1
FDF6E7,E1DDBF
F7F6F1,E1DDBF
B5B8A8,F4F2EA
B5B8A8,70828F
F4F2EA,70828F
FFC7B0,FFECE0
FFC7B0,CCBEAC
FFECE0,CCBEAC
8E5E5E,FDFAF1
8E5E5E,C3B4B3
FDFAF1,C3B4B3
CDBACB,ECEBE5
CDBACB,CBCDC4
ECEBE5,CBCDC4
B39355,F6ECD6
B39355,E9D4A9
F6ECD6,E9D4A9
FDF2DB,F7F6F1
FDF2DB,E9D4A9
F7F6F1,E9D4A9
FAEEDB,FDFAF1
FAEEDB,E3CBA8
FDFAF1,E3CBA8
BBB0B1,E6E0E0
BBB0B1,D9A05F
E6E0E0,D9A05F
F4F0E8,F7F6F1
F4F0E8,D4CEBF
F7F6F1,D4CEBF
957747,F4F0E8
957747,D4CEBF
F4F0E8,D4CEBF
997165,F7F6F1
997165,D8CFC1
F7F6F1,D8CFC1
ECE6D5,F7F6F1
ECE6D5,C95B83
F7F6F1,C95B83
D5BFA5,F2F1E6
D5BFA5,B9B79B
F2F1E6,B9B79B
DA995F,FCF7EB
DA995F,E3CBA8
FCF7EB,E3CBA8
F9FDD9,FFFFE9
F9FDD9,EFDFCF
FFFFE9,EFDFCF
EA8386,F9EDE2
EA8386,E1CBB6
F9EDE2,E1CBB6
F3F5E9,F7F6F1
F3F5E9,D5D8BC
F7F6F1,D5D8BC
FEC382,FDFAF1
FEC382,D5C6BD
FDFAF1,D5C6BD
FFCE79,FDFAF1
FFCE79,DCD8C7
FDFAF1,DCD8C7
FFF6E9,F7F6F1
FFF6E9,FFE3CB
F7F6F1,FFE3CB
96D3D8,FDFAF1
96D3D8,E5D2B0
FDFAF1,E5D2B0
D6EAE8,F0EFEB
D6EAE8,D8CEB9
F0EFEB,D8CEB9
006477,F8F5E9
006477,D8C7B6
F8F5E9,D8C7B6
A14C3F,FFF9E4
A14C3F,D8C7B6
FFF9E4,D8C7B6
70BA9F,FFFBF0
70BA9F,D5C6BD
FFFBF0,D5C6BD
B8DFF8,F7F6F1
B8DFF8,E9E2D7
F7F6F1,E9E2D7
AD735A,E1D8B8
AD735A,C0B28E
E1D8B8,C0B28E
669264,F6EFE1
669264,C7BDA8
F6EFE1,C7BDA8
74857F,E4EBE7
74857F,D0DBD7
E4EBE7,D0DBD7
747769,ECEBE5
747769,CBCDC4
ECEBE5,CBCDC4
A28440,FEF5DB
A28440,EFDBA7
FEF5DB,EFDBA7
896956,F3E4D3
896956,E2C4AF
F3E4D3,E2C4AF
41B45C,FDFAF1
41B45C,D4CEBF
FDFAF1,D4CEBF
5C6B65,FDFAF1
5C6B65,B6C5C1
FDFAF1,B6C5C1
F5C68B,F0EFEB
F5C68B,ECD8B1
F0EFEB,ECD8B1
C1B5A9,FDFAF1
C1B5A9,F1D5AE
FDFAF1,F1D5AE
A88E8B,FFFBF0
A88E8B,E3CBA8
FFFBF0,E3CBA8
9B9092,E6E0E0
9B9092,D4CBCC
E6E0E0,D4CBCC
BCC4BD,E8EBE7
BCC4BD,7D867C
E8EBE7,7D867C
B9CB5A,FFF9E2
B9CB5A,D8CFC1
FFF9E2,D8CFC1
6A8D88,F5EBE1
6A8D88,D8C7B6
F5EBE1,D8C7B6
F6DF9F,FDFAF1
F6DF9F,D8CFC1
FDFAF1,D8CFC1
8EC2E7,FDFAF1
8EC2E7,E2D6BD
FDFAF1,E2D6BD
336172,F5EFE8
336172,C1B4A0
F5EFE8,C1B4A0
994240,E5DFCD
994240,939789
E5DFCD,939789
FFD79D,FFFBF0
FFD79D,D8C7B6
FFFBF0,D8C7B6
9D6F46,FDFAF1
9D6F46,D2C5AE
FDFAF1,D2C5AE
FFE0CB,FFF7ED
FFE0CB,E8DAD1
FFF7ED,E8DAD1
AE704F,FFF4EB
AE704F,F7D8C4
FFF4EB,F7D8C4
799B96,ECEBE5
799B96,B8A88A
ECEBE5,B8A88A
FFEFBC,FFFDEB
FFEFBC,E8B447
FFFDEB,E8B447
B0E0F6,FDFAF1
B0E0F6,D5C7B3
FDFAF1,D5C7B3
FFEDA2,FFF9E4
FFEDA2,D8C7B6
FFF9E4,D8C7B6
C8BA63,F6EAD8
C8BA63,DDC3B7
F6EAD8,DDC3B7
FFDFE8,FFF9EC
FFDFE8,FAE6CA
FFF9EC,FAE6CA
A1A5A8,F7F6F1
A1A5A8,D8DADB
F7F6F1,D8DADB
FFAEC1,ECEBE5
FFAEC1,CBCDC4
ECEBE5,CBCDC4
FFF1F1,FDFAF1
FFF1F1,FFDADC
FDFAF1,FFDADC
F2EDEC,E7E3DB
8FAACA,FDF3E4
8FAACA,D6C5A9
FDF3E4,D6C5A9
936A5B,F2F1DC
936A5B,CED2AB
F2F1DC,CED2AB
F4E1C5,FDFAF1
F4E1C5,CDD0C0
FDFAF1,CDD0C0
B69E87,FCF7EB
B69E87,8FC1D2
FCF7EB,8FC1D2
C6B788,F6EFE1
C6B788,7E6F4F
F6EFE1,7E6F4F
F0E8D9,FDFAF1
F0E8D9,D2C6AE
FDFAF1,D2C6AE
FED5E9,FFFBF0
FED5E9,D8C7B6
FFFBF0,D8C7B6
FFDAE8,FDFAF1
FFDAE8,E9D3BA
FDFAF1,E9D3BA
E5DA9F,FAF4D4
E5DA9F,E9D3BA
FAF4D4,E9D3BA
BCAB8C,F0E8D9
BCAB8C,E3D9A0
F0E8D9,E3D9A0
FFF49C,F7EFDD
FFF49C,D8CFC1
F7EFDD,D8CFC1
FFE774,FFFDF2
FFE774,DDDCBF
FFFDF2,DDDCBF
757374,FDFAF1
757374,D1D0D1
FDFAF1,D1D0D1
A28557,F7F6F1
A28557,E1CEAD
F7F6F1,E1CEAD
806B5D,F5ECE7
806B5D,D5C6BD
F5ECE7,D5C6BD
FFE9C7,FFFDF2
FFE9C7,E7E2D6
FFFDF2,E7E2D6
8B4044,F0EFEB
8B4044,BEA781
F0EFEB,BEA781
9E9589,E6E3D6
9E9589,D8C095
E6E3D6,D8C095
8E7E67,F5EFE8
8E7E67,D8CFC1
F5EFE8,D8CFC1
8CAEAC,E9F9F5
8CAEAC,CADFDD
E9F9F5,CADFDD
