family,scheme,idx,name,code,url
"grey","1","1","Cornforth White No. 228","228","https://www.farrow-ball.com/paint/cornforth-white"
"grey","1","2","Mizzle No. 266","266","https://www.farrow-ball.com/paint/mizzle"
"grey","1","3","Elephant's Breath No. 229","229","https://www.farrow-ball.com/paint/elephants-breath"
"grey","2","1","Pavilion Gray No. 242","242","https://www.farrow-ball.com/paint/pavilion-gray"
"grey","2","2","Blackened No. 2011","2011","https://www.farrow-ball.com/paint/blackened"
"grey","2","3","Wevet No. 273","273","https://www.farrow-ball.com/paint/wevet"
"grey","3","1","Hardwick White No. 5","5","https://www.farrow-ball.com/paint/hardwick-white"
"grey","3","2","School House White No. 291","291","https://www.farrow-ball.com/paint/school-house-white"
"grey","3","3","Dibber No. 312","312","https://www.farrow-ball.com/paint/dibber"
"grey","4","1","Lamp Room Gray No. 88","88","https://www.farrow-ball.com/paint/lamp-room-gray"
"grey","4","2","Cinder Rose No. 246","246","https://www.farrow-ball.com/paint/cinder-rose"
"grey","4","3","Douter No. 318","318","https://www.farrow-ball.com/paint/douter"
"grey","5","1","Ammonite No. 274","274","https://www.farrow-ball.com/paint/ammonite"
"grey","5","2","Purbeck Stone No. 275","275","https://www.farrow-ball.com/paint/purbeck-stone"
"grey","5","3","Selvedge No. 306","306","https://www.farrow-ball.com/paint/selvedge"
"grey","6","1","Cornforth White No. 228","228","https://www.farrow-ball.com/paint/cornforth-white"
"grey","6","2","Mole's Breath No. 276","276","https://www.farrow-ball.com/paint/moles-breath"
"grey","6","3","Sulking Room Pink No. 295","295","https://www.farrow-ball.com/paint/sulking-room-pink"
"grey","7","1","Hardwick White No. 5","5","https://www.farrow-ball.com/paint/hardwick-white"
"grey","7","2","Reduced Green No. 313","313","https://www.farrow-ball.com/paint/reduced-green"
"grey","7","3","Menagerie No. 63","63","https://www.farrow-ball.com/paint/menagerie"
"blue","1","1","Oval Room Blue No. 85","85","https://www.farrow-ball.com/paint/oval-room-blue"
"blue","1","2","Teresa's Green No. 236","236","https://www.farrow-ball.com/paint/teresas-green"
"blue","1","3","Green Blue No. 84","84","https://www.farrow-ball.com/paint/green-blue"
"blue","2","1","Cromarty No. 285","285","https://www.farrow-ball.com/paint/cromarty"
"blue","2","2","Blue Gray No. 91","91","https://www.farrow-ball.com/paint/blue-gray"
"blue","2","3","Pigeon No. 25","25","https://www.farrow-ball.com/paint/pigeon"
"blue","3","1","Parma Gray No. 27","27","https://www.farrow-ball.com/paint/parma-gray"
"blue","3","2","Sizing No. 314","314","https://www.farrow-ball.com/paint/sizing"
"blue","3","3","Hague Blue No. 30","30","https://www.farrow-ball.com/paint/hague-blue"
"blue","4","1","Cook's Blue No. 237","237","https://www.farrow-ball.com/paint/cooks-blue"
"blue","4","2","Yeabridge Green No. 287","287","https://www.farrow-ball.com/paint/yeabridge-green"
"blue","4","3","Nancy's Blushes No. 278","278","https://www.farrow-ball.com/paint/nancys-blushes"
"blue","5","1","Blackened No. 2011","2011","https://www.farrow-ball.com/paint/blackened"
"blue","5","2","Sizing No. 314","314","https://www.farrow-ball.com/paint/sizing"
"blue","5","3","Berrington Blue No. 14","14","https://www.farrow-ball.com/paint/berrington-blue"
"blue","6","1","Shaded White No. 201","201","https://www.farrow-ball.com/paint/shaded-white"
"blue","6","2","Blanc De Treillage No. G1","","https://www.farrow-ball.com/paint/blanc-de-treillage"
"blue","6","3","Oval Room Blue No. 85","85","https://www.farrow-ball.com/paint/oval-room-blue"
"blue","7","1","Old White No. 4","4","https://www.farrow-ball.com/paint/old-white"
"blue","7","2","Sloe Blue No. 87","87","https://www.farrow-ball.com/paint/sloe-blue"
"blue","7","3","Pantalon No. 221","221","https://www.farrow-ball.com/paint/pantalon"
"green","1","1","Dibber No. 312","312","https://www.farrow-ball.com/paint/dibber"
"green","1","2","Beverly No. 310","310","https://www.farrow-ball.com/paint/beverly"
"green","1","3","Treron No. 292","292","https://www.farrow-ball.com/paint/treron"
"green","2","1","Eddy No. 301","301","https://www.farrow-ball.com/paint/eddy"
"green","2","2","French Gray No. 18","18","https://www.farrow-ball.com/paint/french-gray"
"green","2","3","Treron No. 292","292","https://www.farrow-ball.com/paint/treron"
"green","3","1","Vert de Terre No. 234","234","https://www.farrow-ball.com/paint/vert-de-terre"
"green","3","2","Slipper Satin No. 2004","2004","https://www.farrow-ball.com/paint/slipper-satin"
"green","3","3","Lichen No. 19","19","https://www.farrow-ball.com/paint/lichen"
"green","4","1","Reduced Green No. 313","313","https://www.farrow-ball.com/paint/reduced-green"
"green","4","2","Duster No. 319","319","https://www.farrow-ball.com/paint/duster"
"green","4","3","Marmelo No. 316","316","https://www.farrow-ball.com/paint/marmelo"
"green","5","1","All White No. 2005","2005","https://www.farrow-ball.com/paint/all-white"
"green","5","2","James White No. 2010","2010","https://www.farrow-ball.com/paint/james-white"
"green","5","3","Eddy No. 301","301","https://www.farrow-ball.com/paint/eddy"
"green","6","1","Drop Cloth No. 283","283","https://www.farrow-ball.com/paint/drop-cloth"
"green","6","2","Card Room Green No. 79","79","https://www.farrow-ball.com/paint/card-room-green"
"green","6","3","Turret White No. G2","","https://www.farrow-ball.com/paint/turret-white"
"green","7","1","School House White No. 291","291","https://www.farrow-ball.com/paint/school-house-white"
"green","7","2","Dibber No. 312","312","https://www.farrow-ball.com/paint/dibber"
"green","7","3","Duster No. 319","319","https://www.farrow-ball.com/paint/duster"
"red","1","1","Book Room Red No. 50","50","https://www.farrow-ball.com/paint/book-room-red"
"red","1","2","Menagerie No. 63","63","https://www.farrow-ball.com/paint/menagerie"
"red","1","3","Radicchio No. 96","96","https://www.farrow-ball.com/paint/radicchio"
"red","2","1","Naperon No. 315","315","https://www.farrow-ball.com/paint/naperon"
"red","2","2","Red Earth No. 64","64","https://www.farrow-ball.com/paint/red-earth"
"red","2","3","Picture Gallery Red No. 42","42","https://www.farrow-ball.com/paint/picture-gallery-red"
"red","3","1","Preference Red No. 297","297","https://www.farrow-ball.com/paint/preference-red"
"red","3","2","Joa's White No. 226","226","https://www.farrow-ball.com/paint/joas-white"
"red","3","3","De Nimes No. 299","299","https://www.farrow-ball.com/paint/de-nimes"
"red","4","1","Incarnadine No. 248","248","https://www.farrow-ball.com/paint/incarnadine"
"red","4","2","Wine Dark No. 308","308","https://www.farrow-ball.com/paint/wine-dark"
"red","4","3","Bancha No. 298","298","https://www.farrow-ball.com/paint/bancha"
"red","5","1","Joa's White No. 226","226","https://www.farrow-ball.com/paint/joas-white"
"red","5","2","Oxford Stone No. 264","264","https://www.farrow-ball.com/paint/oxford-stone"
"red","5","3","Fox Red No. 48","48","https://www.farrow-ball.com/paint/fox-red"
"red","6","1","Pointing No. 2003","2003","https://www.farrow-ball.com/paint/pointing"
"red","6","2","Scallop No. 311","311","https://www.farrow-ball.com/paint/scallop"
"red","6","3","Etruscan Red No. 56","56","https://www.farrow-ball.com/paint/etruscan-red"
"red","7","1","Preference Red No. 297","297","https://www.farrow-ball.com/paint/preference-red"
"red","7","2","Fawn No. 10","10","https://www.farrow-ball.com/paint/fawn"
"red","7","3","Green Stone No. 12","12","https://www.farrow-ball.com/paint/green-stone"
"orange","1","1","Orangery No. 70","70","https://www.farrow-ball.com/paint/orangery"
"orange","1","2","Dutch Orange No. W76","","https://www.farrow-ball.com/paint/dutch-orange"
"orange","1","3","Faded Terracotta No. CC8","","https://www.farrow-ball.com/paint/faded-terracotta"
"orange","2","1","Dutch Orange No. W76","","https://www.farrow-ball.com/paint/dutch-orange"
"orange","2","2","Orange Coloured White No. W5","","https://www.farrow-ball.com/paint/orange-coloured-white"
"orange","2","3","Pointing No. 2003","2003","https://www.farrow-ball.com/paint/pointing"
"orange","3","1","Marmelo No. 316","316","https://www.farrow-ball.com/paint/marmelo"
"orange","3","2","Naperon No. 315","315","https://www.farrow-ball.com/paint/naperon"
"orange","3","3","All White No. 2005","2005","https://www.farrow-ball.com/paint/all-white"
"orange","4","1","Charlotte's Locks No. 268","268","https://www.farrow-ball.com/paint/charlottes-locks"
"orange","4","2","Danish Lawn No. 9817","9817","https://www.farrow-ball.com/paint/danish-lawn"
"orange","4","3","St Giles Blue No. 280","280","https://www.farrow-ball.com/paint/st-giles-blue"
"orange","5","1","Pointing No. 2003","2003","https://www.farrow-ball.com/paint/pointing"
"orange","5","2","Orange Coloured White No. W5","","https://www.farrow-ball.com/paint/orange-coloured-white"
"orange","5","3","All White No. 2005","2005","https://www.farrow-ball.com/paint/all-white"
"orange","6","1","Dimity No. 2008","2008","https://www.farrow-ball.com/paint/dimity"
"orange","6","2","Mortar Pink No. G13","","https://www.farrow-ball.com/paint/mortar-pink"
