anchor_name,anchor_code,anchor_hex6,friend_name,friend_hex6,friend_url,relation,slot,box
"Kakelugn","317","C5D1D8","Strong White","","https://www.farrow-ball.com/paint/strong-white","complementary_white","",""
"Kakelugn","317","C5D1D8","","889B9B","","carousel","0","2"
"Kakelugn","317","C5D1D8","","E4E2DC","","carousel","0","3"
"Kakelugn","317","C5D1D8","","E2D0CA","","carousel","1","2"
"Kakelugn","317","C5D1D8","","F4F2E7","","carousel","1","3"
"Kakelugn","317","C5D1D8","","A75346","","carousel","2","2"
"Kakelugn","317","C5D1D8","","3F4D57","","carousel","2","3"
"Kakelugn","317","C5D1D8","","747C51","","carousel","3","2"
"Kakelugn","317","C5D1D8","","DFE6EA","","carousel","3","3"
"Kakelugn","317","C5D1D8","","DFE6EA","","carousel","4","2"
"Kakelugn","317","C5D1D8","","F6F6F2","","carousel","4","3"
"Scallop","311","D9C8BA","Dimity","","https://www.farrow-ball.com/paint/dimity","complementary_white","",""
"Scallop","311","D9C8BA","","B19C8D","","carousel","0","2"
"Scallop","311","D9C8BA","","EAE1D3","","carousel","0","3"
"Scallop","311","D9C8BA","","CACCC0","","carousel","1","2"
"Scallop","311","D9C8BA","","F4F2E7","","carousel","1","3"
"Scallop","311","D9C8BA","","7C8E96","","carousel","2","2"
"Scallop","311","D9C8BA","","5E4449","","carousel","2","3"
"Scallop","311","D9C8BA","","5C594B","","carousel","3","2"
"Scallop","311","D9C8BA","","6A453F","","carousel","3","3"
"Scallop","311","D9C8BA","","A36E4C","","carousel","4","2"
"Scallop","311","D9C8BA","","636F68","","carousel","4","3"
"Dibber","312","7E775B","Slipper Satin","","https://www.farrow-ball.com/paint/slipper-satin","complementary_white","",""
"Dibber","312","7E775B","","C7BFAB","","carousel","0","2"
"Dibber","312","7E775B","","E6E0D2","","carousel","0","3"
"Dibber","312","7E775B","","58686A","","carousel","1","2"
"Dibber","312","7E775B","","454749","","carousel","1","3"
"Dibber","312","7E775B","","C1B2A2","","carousel","2","2"
"Dibber","312","7E775B","","D9CFC2","","carousel","2","3"
"Dibber","312","7E775B","","5C594B","","carousel","3","2"
"Dibber","312","7E775B","","DBD4BF","","carousel","3","3"
"Dibber","312","7E775B","","5C594B","","carousel","4","2"
"Dibber","312","7E775B","","A36E4C","","carousel","4","3"
"Dibber","312","7E775B","","BA9C69","","carousel","5","2"
"Dibber","312","7E775B","","A36E4C","","carousel","5","3"
"Reduced Green","313","5C594B","Old White","","https://www.farrow-ball.com/paint/old-white","complementary_white","",""
"Reduced Green","313","5C594B","","D1C19F","","carousel","0","2"
"Reduced Green","313","5C594B","","D8CBAE","","carousel","0","3"
"Reduced Green","313","5C594B","","B0AF9B","","carousel","1","2"
"Reduced Green","313","5C594B","","C7BFAB","","carousel","1","3"
"Reduced Green","313","5C594B","","6F4449","","carousel","2","2"
"Reduced Green","313","5C594B","","CDB19D","","carousel","2","3"
"Reduced Green","313","5C594B","","A36E4C","","carousel","3","2"
"Reduced Green","313","5C594B","","DBD4BF","","carousel","3","3"
"Reduced Green","313","5C594B","","A36E4C","","carousel","4","2"
"Reduced Green","313","5C594B","","7E775B","","carousel","4","3"
"Sizing","314","DFE6EA","All White","","https://www.farrow-ball.com/paint/all-white","complementary_white","",""
"Sizing","314","DFE6EA","","9EB6C8","","carousel","0","2"
"Sizing","314","DFE6EA","","F6F6F2","","carousel","0","3"
"Sizing","314","DFE6EA","","F4E7DD","","carousel","1","2"
"Sizing","314","DFE6EA","","F6F6F2","","carousel","1","3"
"Sizing","314","DFE6EA","","5C6576","","carousel","2","2"
"Sizing","314","DFE6EA","","F6F6F2","","carousel","2","3"
"Sizing","314","DFE6EA","","747C51","","carousel","3","2"
"Sizing","314","DFE6EA","","C5D1D8","","carousel","3","3"
"Sizing","314","DFE6EA","","C5D1D8","","carousel","4","2"
"Sizing","314","DFE6EA","","F6F6F2","","carousel","4","3"
"Naperon","315","D7A287","Stirabout","","https://www.farrow-ball.com/paint/stirabout","complementary_white","",""
"Naperon","315","D7A287","","9C9F89","","carousel","0","2"
"Naperon","315","D7A287","","E3DCC7","","carousel","0","3"
"Naperon","315","D7A287","","AA725D","","carousel","1","2"
"Naperon","315","D7A287","","4F4A4A","","carousel","1","3"
"Naperon","315","D7A287","","DFB797","","carousel","2","2"
"Naperon","315","D7A287","","D9CFC2","","carousel","2","3"
"Naperon","315","D7A287","","7E775B","","carousel","3","2"
"Naperon","315","D7A287","","DBCFBB","","carousel","3","3"
"Marmelo","316","A36E4C","Joa's White","","https://www.farrow-ball.com/paint/joas-white","complementary_white","",""
