name,code,hex,detail_block,accent_friends,trim_friends,url
"PEREGRINE","PPG0993-1","#D5D8D7","PPG0993-1
Peregrine is a soft, cool, icy gray with a gray-blue undertone. It is a perfect paint color for a living room space. Pair it with pops of color to create visual interest.
R: 213 G: 216 B: 217 LRV: 68
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/peregrine"
"TRAIN","PPG0993-2","#BFC4C5","PPG0993-2
Train is a light, cool, true gray with a celestial undertone. It is a perfect paint color for a calming area in any room. Pair it with dark wood furniture.
R: 191 G: 195 B: 198 LRV: 54
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","THIN ICE (PPG1001-3); FLAGSTONE (PPG1001-4)","DELICATE WHITE (PPG1001-1); ARIA (PPG1001-2)","https://www.ppgpaints.com/color/color-families/grays/train"
"GOSLING GRAY","PPG0993-3","#A9AFB2","PPG0993-3
Gosling Gray is a midtone, cool, slate gray with a celestial undertone. It is a perfect paint color for a dining room or bathroom. Pair it with deep wood accents, white trim and navy fabrics.
R: 169 G: 174 B: 180 LRV: 42
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","ALPACA WOOL (PPG14-19)","OATMEAL (PPG1023-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/gosling-gray"
"GRAY SUIT","PPG0993-4","#999FA3","PPG0993-4
Gray Suit is a midtone, cool, slate gray with a charcoal undertone. It is a perfect paint color for the exterior of your home. Pair it with deep burgundy red.
R: 153 G: 159 B: 164 LRV: 34
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/gray-suit"
"SUPERHERO GRAY","PPG0993-5","#838B91","PPG0993-5
Superhero Gray is a saturated, cool, stormy gray with a navy undertone. It is a perfect paint color for the exterior of your home or an interior accent wall. Pair it with surrounding walls of lighter gray.
R: 131 G: 139 B: 146 LRV: 25
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","ALPACA WOOL (PPG14-19)","OATMEAL (PPG1023-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/superhero-gray"
"OLD SILK","PPG0993-6","#6D747A","PPG0993-6
Old Silk is a deep, cool, stormy gray with a navy undertone. It is a perfect paint color to create a beautiful ambiance for an accent wall. Pair it with black or charcoal trim for a statement.
R: 109 G: 115 B: 122 LRV: 17
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","THIN ICE (PPG1001-3); FLAGSTONE (PPG1001-4)","DELICATE WHITE (PPG1001-1); ARIA (PPG1001-2)","https://www.ppgpaints.com/color/color-families/grays/old-silk"
"MOODY SKY","PPG0993-7","#575C62","PPG0993-7
Moody Sky is a deep, cool, battleship gray with an industrial undertone. It is a perfect paint color for an accent. Pair it with marble countertops.
R: 87 G: 92 B: 98 LRV: 11
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/moody-sky"
"AFRAID OF THE DARK","PPG0994-1","#D4D4CD","PPG0994-1
Afraid Of The Dark is a light, warm, cloudy gray with a pearly undertone. It is a perfect paint color for all main walls or ceiling to expand the space. Pair it with gold or pewter accents.
R: 211 G: 213 B: 207 LRV: 66
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/afraid-of-the-dark"
"PITTSBURGH GRAY","PPG0994-2","#C9CBC6","PPG0994-2
Pittsburgh Gray is a soft, warm, cloudy gray with a smokey undertone. It is a perfect paint color for a living room area. Pair it with white trim.
R: 200 G: 203 B: 200 LRV: 59
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/pittsburgh-gray"
"HALF DOME","PPG0994-3","#BBBCB6","PPG0994-3
Half Dome is a soft, warm, cloudy gray with a slate undertone. It is a perfect paint color for a main wall for many rooms. Pair it with whites.
R: 187 G: 188 B: 184 LRV: 50
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/grays/half-dome"
