name,code,r,g,b,hex,brand,url
"PEREGRINE","PPG0993-1","213","216","215","#D5D8D7","PPG","/color/color-families/grays/peregrine"
"TRAIN","PPG0993-2","191","196","197","#BFC4C5","PPG","/color/color-families/grays/train"
"GOSLING GRAY","PPG0993-3","169","175","178","#A9AFB2","PPG","/color/color-families/grays/gosling-gray"
"GRAY SUIT","PPG0993-4","153","159","163","#999FA3","PPG","/color/color-families/grays/gray-suit"
"SUPERHERO GRAY","PPG0993-5","131","139","145","#838B91","PPG","/color/color-families/grays/superhero-gray"
"OLD SILK","PPG0993-6","109","116","122","#6D747A","PPG","/color/color-families/grays/old-silk"
"MOODY SKY","PPG0993-7","87","92","98","#575C62","PPG","/color/color-families/grays/moody-sky"
"AFRAID OF THE DARK","PPG0994-1","212","212","205","#D4D4CD","PPG","/color/color-families/grays/afraid-of-the-dark"
"PITTSBURGH GRAY","PPG0994-2","201","203","198","#C9CBC6","PPG","/color/color-families/grays/pittsburgh-gray"
"HALF DOME","PPG0994-3","187","188","182","#BBBCB6","PPG","/color/color-families/grays/half-dome"
"HIPPOPOTAMUS","PPG0994-4","168","170","164","#A8AAA4","PPG","/color/color-families/grays/hippopotamus"
"STEEL CURTAIN","PPG0994-5","156","159","153","#9C9F99","PPG","/color/color-families/grays/steel-curtain"
"HUSKY GRAY","PPG0994-6","146","149","143","#92958F","PPG","/color/color-families/grays/husky-gray"
"PENCILPOINT","PPG0994-7","113","117","114","#717572","PPG","/color/color-families/grays/pencilpoint"
"SHADED WHISPER","PPG0995-1","224","223","220","#E0DFDC","PPG","/color/color-families/grays/shaded-whisper"
"ANCIENT CLOUD","PPG0995-2","210","209","205","#D2D1CD","PPG","/color/color-families/grays/ancient-cloud"
"SILVER BAND","PPG0995-3","199","198","194","#C7C6C2","PPG","/color/color-families/grays/silver-band"
"PIGEON FEATHER","PPG0995-4","185","184","181","#B9B8B5","PPG","/color/color-families/grays/pigeon-feather"
"BURNISHED BLADE","PPG0995-5","159","159","157","#9F9F9D","PPG","/color/color-families/grays/burnished-blade"
"CITY SKYLINE","PPG0995-6","123","122","120","#7B7A78","PPG","/color/color-families/grays/city-skyline"
"STARLESS SKY","PPG0995-7","60","61","61","#3C3D3D","PPG","/color/color-families/grays/starless-sky"
"SHINING SCALE","PPG0996-1","221","221","217","#DDDDD9","PPG","/color/color-families/grays/shining-scale"
"STEELY GAZE","PPG0996-2","205","204","201","#CDCCC9","PPG","/color/color-families/grays/steely-gaze"
"STATUE GARDEN","PPG0996-3","168","167","163","#A8A7A3","PPG","/color/color-families/grays/statue-garden"
"CLOUDY SLATE","PPG0996-4","146","146","143","#92928F","PPG","/color/color-families/grays/cloudy-slate"
"STEAMSHIP","PPG0996-5","129","128","126","#81807E","PPG","/color/color-families/grays/steamship"
"SLATE MINE","PPG0996-6","111","111","110","#6F6F6E","PPG","/color/color-families/grays/slate-mine"
"SUMMER SHADOW","PPG0996-7","94","94","93","#5E5E5D","PPG","/color/color-families/grays/summer-shadow"
"ALLEGHENY RIVER","PPG0997-1","208","207","201","#D0CFC9","PPG","/color/color-families/grays/allegheny-river"
"FELTED WOOL","PPG0997-2","196","195","189","#C4C3BD","PPG","/color/color-families/grays/felted-wool"
"FRESH GRANITE","PPG0997-3","187","186","181","#BBBAB5","PPG","/color/color-families/grays/fresh-granite"
"PRECIPITATION","PPG0997-4","171","172","166","#ABACA6","PPG","/color/color-families/grays/precipitation"
"PLAYING POSSUM","PPG0997-5","150","151","148","#969794","PPG","/color/color-families/grays/playing-possum"
"INDUSTRIAL REVOLUTION","PPG0997-6","123","124","122","#7B7C7A","PPG","/color/color-families/grays/industrial-revolution"
"BLACK WIDOW","PPG0997-7","87","89","87","#575957","PPG","/color/color-families/grays/black-widow"
"COTTON TAIL","PPG0998-1","242","240","231","#F2F0E7","PPG","/color/color-families/grays/cotton-tail"
"HIKERS PARADISE","PPG0998-2","191","186","176","#BFBAB0","PPG","/color/color-families/grays/hikers-paradise"
"KALISPELL","PPG0998-3","175","171","161","#AFABA1","PPG","/color/color-families/grays/kalispell"
"SHADOWY","PPG0998-4","161","158","151","#A19E97","PPG","/color/color-families/grays/shadowy"
"MT. RAINIER","PPG0998-5","148","144","137","#949089","PPG","/color/color-families/grays/mt-rainier"
"ON THE EDGE","PPG0998-6","126","122","116","#7E7A74","PPG","/color/color-families/grays/on-the-edge"
"UNDERCOVER","PPG0998-7","92","87","82","#5C5752","PPG","/color/color-families/grays/undercover"
"IN THE CLOUD","PPG0999-1","222","219","210","#DEDBD2","PPG","/color/color-families/grays/in-the-cloud"
"RABBIT'S EAR","PPG0999-2","199","194","183","#C7C2B7","PPG","/color/color-families/grays/rabbit-s-ear"
"BOULDER CREEK","PPG0999-3","178","173","162","#B2ADA2","PPG","/color/color-families/grays/boulder-creek"
"STEEPED TEA","PPG0999-4","154","147","135","#9A9387","PPG","/color/color-families/grays/steeped-tea"
"SWEATER WEATHER","PPG0999-5","139","131","118","#8B8376","PPG","/color/color-families/grays/sweater-weather"
"STOLEN ROCK","PPG0999-6","116","110","100","#746E64","PPG","/color/color-families/grays/stolen-rock"
"DARK WOODS","PPG0999-7","99","95","89","#635F59","PPG","/color/color-families/grays/dark-woods"
"DUST BUNNY","PPG1000-1","209","201","188","#D1C9BC","PPG","/color/color-families/grays/dust-bunny"
"ROCKY ROAD","PPG1000-2","194","185","172","#C2B9AC","PPG","/color/color-families/grays/rocky-road"
"FIELDSTONE","PPG1000-3","177","168","156","#B1A89C","PPG","/color/color-families/grays/fieldstone"
"WINTER COCOA","PPG1000-4","161","150","137","#A19689","PPG","/color/color-families/grays/winter-cocoa"
"BEAR CUB","PPG1000-5","142","130","116","#8E8274","PPG","/color/color-families/grays/bear-cub"
"THUNDERSTRUCK","PPG1000-6","125","114","101","#7D7265","PPG","/color/color-families/grays/thunderstruck"
"CHOCOLATE LAB","PPG1000-7","100","88","74","#64584A","PPG","/color/color-families/grays/chocolate-lab"
"BLACK MAGIC","PPG1001-7","65","64","64","#414040","PPG","/color/color-families/neutrals/black-magic"
"DARK AS NIGHT","PPG14-05","61","70","69","#3D4645","PPG","/color/color-families/neutrals/dark-as-night"
"ONYX","PPG1011-7","70","69","68","#464544","PPG","/color/color-families/neutrals/onyx"
"BLACK FOREST","PPG1012-7","67","75","79","#434B4F","PPG","/color/color-families/neutrals/black-forest"
"LICORICE","PPG1009-7","78","79","72","#4E4F48","PPG","/color/color-families/neutrals/licorice"
"ZOMBIE","PPG1010-7","89","90","92","#595A5C","PPG","/color/color-families/neutrals/zombie"
"MOSTLY METAL","PPG1036-7","87","94","95","#575E5F","PPG","/color/color-families/neutrals/mostly-metal"
"KNIGHT'S ARMOR","PPG1001-6","92","93","93","#5C5D5D","PPG","/color/color-families/neutrals/knight-s-armor"
"GLAZED GRANITE","PPG1011-6","91","94","97","#5B5E61","PPG","/color/color-families/neutrals/glazed-granite"
"ARMORY","PPG1009-6","106","107","101","#6A6B65","PPG","/color/color-families/neutrals/armory"
"UP IN SMOKE","PPG1010-6","110","112","109","#6E706D","PPG","/color/color-families/neutrals/up-in-smoke"
"IMPROBABLE","PPG1011-5","110","115","118","#6E7376","PPG","/color/color-families/neutrals/improbable"
"VOLCANIC ASH","PPG1012-6","111","118","120","#6F7678","PPG","/color/color-families/neutrals/volcanic-ash"
"PHANTOM","PPG1036-6","110","121","123","#6E797B","PPG","/color/color-families/neutrals/phantom"
"THUNDERBOLT","PPG10-06","124","135","131","#7C8783","PPG","/color/color-families/neutrals/thunderbolt"
"ROUGH RIDE","PPG1036-5","122","134","135","#7A8687","PPG","/color/color-families/neutrals/rough-ride"
"DOVER GRAY","PPG1001-5","132","133","133","#848585","PPG","/color/color-families/neutrals/dover-gray"
"DOWNPOUR","PPG1010-5","137","138","134","#898A86","PPG","/color/color-families/neutrals/downpour"
"PHOENIX FOSSIL","PPG1009-5","142","144","141","#8E908D","PPG","/color/color-families/neutrals/phoenix-fossil"
"STEEPLE GRAY","PPG1012-5","142","149","152","#8E9598","PPG","/color/color-families/neutrals/steeple-gray"
"AFTER THE STORM","PPG1036-4","145","159","161","#919FA1","PPG","/color/color-families/neutrals/after-the-storm"
