name,code,url,family,r,g,b,
Adriatic Sea,SW6790,/en-us/color/color-family/blue-paint-colors/sw6790-adriatic-sea,Blue,1,96,129,
Adventure Orange,SW6655,/en-us/color/color-family/orange-paint-colors/sw6655-adventure-orange,Orange,230,159,95,
African Gray,SW9162,/en-us/color/color-family/neutral-paint-colors/sw9162-african-gray,Neutral,147,152,153,
African Violet,SW6982,/en-us/color/color-family/purple-paint-colors/sw6982-african-violet,Purple,102,83,133,
After the Rain,SW9047,/en-us/color/color-family/blue-paint-colors/sw9047-after-the-rain,Blue,139,196,209,
Afterglow,SW6667,/en-us/color/color-family/yellow-paint-colors/sw6667-afterglow,Yellow,246,205,142,
Afternoon,SW6675,/en-us/color/color-family/yellow-paint-colors/sw6675-afternoon,Yellow,251,203,120,
Agapanthus,SW9066,/en-us/color/color-family/purple-paint-colors/sw9066-agapanthus,Purple,187,197,222,
Aged White,SW9180,/en-us/color/color-family/white-paint-colors/sw9180-aged-white,White,232,222,205,
Alyssum,SW6589,/en-us/color/color-family/red-paint-colors/sw6589-alyssum,Red,242,213,215,
Amalfi,SW6783,/en-us/color/color-family/blue-paint-colors/sw6783-amalfi,Blue,1,110,133,
Amaryllis,SW6591,/en-us/color/color-family/red-paint-colors/sw6591-amaryllis,Red,237,147,157,
Amber Wave,SW6657,/en-us/color/color-family/orange-paint-colors/sw6657-amber-wave,Orange,210,130,64,
Antique Red,SW7587,/en-us/color/color-family/red-paint-colors/sw7587-antique-red,Red,159,68,66,
Antique White,SW6119,/en-us/color/color-family/white-paint-colors/sw6119-antique-white,White,232,220,198,
Aquarium,SW6767,/en-us/color/color-family/blue-paint-colors/sw6767-aquarium,Blue,58,169,174,
Aquastone,SW9043,/en-us/color/color-family/blue-paint-colors/sw9043-aquastone,Blue,137,198,183,
Aqueduct,SW6758,/en-us/color/color-family/blue-paint-colors/sw6758-aqueduct,Blue,161,213,203,
Argos,SW7065,/en-us/color/color-family/neutral-paint-colors/sw7065-argos,Neutral,189,189,183,
Argyle,SW6747,/en-us/color/color-family/green-paint-colors/sw6747-argyle,Green,52,138,93,
Arrowroote,SW9502,/en-us/color/color-family/white-paint-colors/sw9502-arrowroote,White,228,222,207,
Attitude Gray,SW7060,/en-us/color/color-family/neutral-paint-colors/sw7060-attitude-gray,Neutral,124,125,117,
Auric,SW6692,/en-us/color/color-family/yellow-paint-colors/sw6692-auric,Yellow,196,137,25,
Aviary Blue,SW6778,/en-us/color/color-family/blue-paint-colors/sw6778-aviary-blue,Blue,198,227,232,
Avid Apricot,SW6639,/en-us/color/color-family/orange-paint-colors/sw6639-avid-apricot,Orange,244,198,159,
Awesome Violet,SW6815,/en-us/color/color-family/purple-paint-colors/sw6815-awesome-violet,Purple,167,178,212,
Azalea Flower,SW6576,/en-us/color/color-family/red-paint-colors/sw6576-azalea-flower,Red,239,192,203,
Balanced Beige,SW7037,/en-us/color/color-family/neutral-paint-colors/sw7037-balanced-beige,Neutral,192,178,162,
Banana Cream,SW6673,/en-us/color/color-family/yellow-paint-colors/sw6673-banana-cream,Yellow,245,222,175,
Baroness,SW6837,/en-us/color/color-family/purple-paint-colors/sw6837-baroness,Purple,167,133,167,
Bathe Blue,SW6771,/en-us/color/color-family/blue-paint-colors/sw6771-bathe-blue,Blue,194,224,227,
Bauhaus Buff,SW7552,/en-us/color/color-family/white-paint-colors/sw7552-bauhaus-buff,White,231,219,204,
Bee,SW6683,/en-us/color/color-family/yellow-paint-colors/sw6683-bee,Yellow,241,186,85,
Begonia,SW6599,/en-us/color/color-family/red-paint-colors/sw6599-begonia,Red,215,108,110,
Bella Pink,SW6596,/en-us/color/color-family/red-paint-colors/sw6596-bella-pink,Red,241,198,196,
Bellini Fizz,SW9008,/en-us/color/color-family/orange-paint-colors/sw9008-bellini-fizz,Orange,245,199,142,
Berry Frappé,SW9068,/en-us/color/color-family/purple-paint-colors/sw9068-berry-frappe,Purple,179,161,198,
Biscuit,SW6112,/en-us/color/color-family/white-paint-colors/sw6112-biscuit,White,235,221,203,
Blissful Blue,SW6527,/en-us/color/color-family/purple-paint-colors/sw6527-blissful-blue,Purple,178,200,216,
Blue Chip,SW6959,/en-us/color/color-family/purple-paint-colors/sw6959-blue-chip,Purple,1,110,167,
Blue Horizon,SW6497,/en-us/color/color-family/blue-paint-colors/sw6497-blue-horizon,Blue,216,231,230,
Blue Mosque,SW6789,/en-us/color/color-family/blue-paint-colors/sw6789-blue-mosque,Blue,1,129,158,
Blue Nile,SW6776,/en-us/color/color-family/blue-paint-colors/sw6776-blue-nile,Blue,1,113,126,
Blue Plate,SW6796,/en-us/color/color-family/blue-paint-colors/sw6796-blue-plate,Blue,1,124,167,
Blue Sky,SW0063,/en-us/color/color-family/green-paint-colors/sw0063-blue-sky,Green,171,209,201,
Bluebell,SW6793,/en-us/color/color-family/blue-paint-colors/sw6793-bluebell,Blue,162,213,231,
Blueblood,SW6966,/en-us/color/color-family/purple-paint-colors/sw6966-blueblood,Purple,1,80,134,
Bluesy Note,SW9064,/en-us/color/color-family/purple-paint-colors/sw9064-bluesy-note,Purple,124,154,181,
Blushing,SW6617,/en-us/color/color-family/orange-paint-colors/sw6617-blushing,Orange,240,209,195,
Bolero,SW7600,/en-us/color/color-family/red-paint-colors/sw7600-bolero,Red,144,57,52,
Bora Bora Shore,SW9045,/en-us/color/color-family/blue-paint-colors/sw9045-bora-bora-shore,Blue,146,208,208,
Brave Purple,SW6823,/en-us/color/color-family/purple-paint-colors/sw6823-brave-purple,Purple,150,141,184,
Bravo Blue,SW6784,/en-us/color/color-family/blue-paint-colors/sw6784-bravo-blue,Blue,211,231,233,
Breathtaking,SW6814,/en-us/color/color-family/purple-paint-colors/sw6814-breathtaking,Purple,199,209,226,
Brick Paver,SW7599,/en-us/color/color-family/orange-paint-colors/sw7599-brick-paver,Orange,147,64,47,
Briny,SW6775,/en-us/color/color-family/blue-paint-colors/sw6775-briny,Blue,8,128,142,
Brittlebush,SW6684,/en-us/color/color-family/yellow-paint-colors/sw6684-brittlebush,Yellow,234,174,71,
Butter Up,SW6681,/en-us/color/color-family/yellow-paint-colors/sw6681-butter-up,Yellow,246,221,163,
Butterfield,SW6676,/en-us/color/color-family/yellow-paint-colors/sw6676-butterfield,Yellow,247,190,91,
Calypso,SW6950,/en-us/color/color-family/blue-paint-colors/sw6950-calypso,Blue,1,176,187,
Canvas Tan,SW7531,/en-us/color/color-family/white-paint-colors/sw7531-canvas-tan,White,220,209,191,
Capri,SW6788,/en-us/color/color-family/blue-paint-colors/sw6788-capri,Blue,1,160,184,
Captivating Cream,SW6659,/en-us/color/color-family/orange-paint-colors/sw6659-captivating-cream,Orange,244,217,177,
Carnival,SW6892,/en-us/color/color-family/orange-paint-colors/sw6892-carnival,Orange,235,136,44,
Casa Blanca,SW7571,/en-us/color/color-family/white-paint-colors/sw7571-casa-blanca,White,237,225,206,
Cay,SW6772,/en-us/color/color-family/blue-paint-colors/sw6772-cay,Blue,166,208,214,
Cayenne,SW6881,/en-us/color/color-family/orange-paint-colors/sw6881-cayenne,Orange,192,77,53,
Celestial,SW6808,/en-us/color/color-family/purple-paint-colors/sw6808-celestial,Purple,151,179,208,
Center Stage,SW6920,/en-us/color/color-family/green-paint-colors/sw6920-center-stage,Green,178,194,22,
Cerise,SW6580,/en-us/color/color-family/red-paint-colors/sw6580-cerise,Red,153,50,78,
Certain Peach,SW6625,/en-us/color/color-family/orange-paint-colors/sw6625-certain-peach,Orange,242,189,162,
Chamomile,SW6399,/en-us/color/color-family/yellow-paint-colors/sw6399-chamomile,Yellow,233,224,197,
Champagne,SW6644,/en-us/color/color-family/red-paint-colors/sw6644-champagne,Red,242,227,206,
Charisma,SW6605,/en-us/color/color-family/red-paint-colors/sw6605-charisma,Red,238,148,137,
Cheerful,SW6903,/en-us/color/color-family/yellow-paint-colors/sw6903-cheerful,Yellow,255,199,35,
Cheery,SW6584,/en-us/color/color-family/red-paint-colors/sw6584-cheery,Red,235,146,163,
Cherries Jubilee,SW6862,/en-us/color/color-family/red-paint-colors/sw6862-cherries-jubilee,Red,171,60,81,
Cheviot,SW9503,/en-us/color/color-family/white-paint-colors/sw9503-cheviot,White,246,242,232,
