source_anchor_slug,source_anchor_code,source_anchor_name,source_family,source_url,a_slug,a_code,a_name,a_rgb,a_hex,b_slug,b_code,b_name,b_rgb,b_hex
sw0023-pewter-tankard,SW-0023,Pewter Tankard,neutral-paint-colors,https://www.sherwin-williams.com/en-us/color/color-family/neutral-paint-colors/sw0023-pewter-tankard,sw0023-pewter-tankard,SW-0023,Pewter Tankard,,A39B90,sw7566-westhighland-white,SW-7566,Westhighland White,"rgb(243,238,227)",F3EEE3
sw0023-pewter-tankard,SW-0023,Pewter Tankard,neutral-paint-colors,https://www.sherwin-williams.com/en-us/color/color-family/neutral-paint-colors/sw0023-pewter-tankard,sw0023-pewter-tankard,SW-0023,Pewter Tankard,,A39B90,sw6554-lite-lavender,SW-6554,Lite Lavender,"rgb(224,218,223)",E0DADF
sw0023-pewter-tankard,SW-0023,Pewter Tankard,neutral-paint-colors,https://www.sherwin-williams.com/en-us/color/color-family/neutral-paint-colors/sw0023-pewter-tankard,sw7566-westhighland-white,SW-7566,Westhighland White,"rgb(243,238,227)",F3EEE3,sw6554-lite-lavender,SW-6554,Lite Lavender,"rgb(224,218,223)",E0DADF
sw0047-studio-blue-green,SW-0047,Studio Blue Green,neutral-paint-colors,https://www.sherwin-williams.com/en-us/color/color-family/neutral-paint-colors/sw0047-studio-blue-green,sw0047-studio-blue-green,SW-0047,Studio Blue Green,,6D817B,sw7637-oyster-white,SW-7637,Oyster White,"rgb(226,221,208)",E2DDD0
sw0047-studio-blue-green,SW-0047,Studio Blue Green,neutral-paint-colors,https://www.sherwin-williams.com/en-us/color/color-family/neutral-paint-colors/sw0047-studio-blue-green,sw0047-studio-blue-green,SW-0047,Studio Blue Green,,6D817B,sw7639-ethereal-mood,SW-7639,Ethereal Mood,"rgb(174,165,148)",AEA594
sw0047-studio-blue-green,SW-0047,Studio Blue Green,neutral-paint-colors,https://www.sherwin-williams.com/en-us/color/color-family/neutral-paint-colors/sw0047-studio-blue-green,sw7637-oyster-white,SW-7637,Oyster White,"rgb(226,221,208)",E2DDD0,sw7639-ethereal-mood,SW-7639,Ethereal Mood,"rgb(174,165,148)",AEA594
sw0052-pearl-gray,SW-0052,Pearl Gray,neutral-paint-colors,https://www.sherwin-williams.com/en-us/color/color-family/neutral-paint-colors/sw0052-pearl-gray,sw0052-pearl-gray,SW-0052,Pearl Gray,,CBCEC5,sw7566-westhighland-white,SW-7566,Westhighland White,"rgb(243,238,227)",F3EEE3
sw0052-pearl-gray,SW-0052,Pearl Gray,neutral-paint-colors,https://www.sherwin-williams.com/en-us/color/color-family/neutral-paint-colors/sw0052-pearl-gray,sw0052-pearl-gray,SW-0052,Pearl Gray,,CBCEC5,sw9167-polished-concrete,SW-9167,Polished Concrete,"rgb(158,151,147)",9E9793
sw0052-pearl-gray,SW-0052,Pearl Gray,neutral-paint-colors,https://www.sherwin-williams.com/en-us/color/color-family/neutral-paint-colors/sw0052-pearl-gray,sw7566-westhighland-white,SW-7566,Westhighland White,"rgb(243,238,227)",F3EEE3,sw9167-polished-concrete,SW-9167,Polished Concrete,"rgb(158,151,147)",9E9793
sw2810-rookwood-sash-green,SW-2810,Rookwood Sash Green,neutral-paint-colors,https://www.sherwin-williams.com/en-us/color/color-family/neutral-paint-colors/sw2810-rookwood-sash-green,sw2810-rookwood-sash-green,SW-2810,Rookwood Sash Green,,506A67,sw2819-downing-slate,SW-2819,Downing Slate,"rgb(119,127,134)",777F86
sw2810-rookwood-sash-green,SW-2810,Rookwood Sash Green,neutral-paint-colors,https://www.sherwin-williams.com/en-us/color/color-family/neutral-paint-colors/sw2810-rookwood-sash-green,sw2810-rookwood-sash-green,SW-2810,Rookwood Sash Green,,506A67,sw2818-renwick-heather,SW-2818,Renwick Heather,"rgb(139,125,123)",8B7D7B
sw2810-rookwood-sash-green,SW-2810,Rookwood Sash Green,neutral-paint-colors,https://www.sherwin-williams.com/en-us/color/color-family/neutral-paint-colors/sw2810-rookwood-sash-green,sw2819-downing-slate,SW-2819,Downing Slate,"rgb(119,127,134)",777F86,sw2818-renwick-heather,SW-2818,Renwick Heather,"rgb(139,125,123)",8B7D7B
sw2821-downing-stone,SW-2821,Downing Stone,neutral-paint-colors,https://www.sherwin-williams.com/en-us/color/color-family/neutral-paint-colors/sw2821-downing-stone,sw2821-downing-stone,SW-2821,Downing Stone,,A6A397,sw7540-artisan-tan,SW-7540,Artisan Tan,"rgb(176,152,121)",B09879
sw2821-downing-stone,SW-2821,Downing Stone,neutral-paint-colors,https://www.sherwin-williams.com/en-us/color/color-family/neutral-paint-colors/sw2821-downing-stone,sw2821-downing-stone,SW-2821,Downing Stone,,A6A397,sw7630-raisin,SW-7630,Raisin,"rgb(57,43,45)",392B2D
sw2821-downing-stone,SW-2821,Downing Stone,neutral-paint-colors,https://www.sherwin-williams.com/en-us/color/color-family/neutral-paint-colors/sw2821-downing-stone,sw7540-artisan-tan,SW-7540,Artisan Tan,"rgb(176,152,121)",B09879,sw7630-raisin,SW-7630,Raisin,"rgb(57,43,45)",392B2D
sw2848-roycroft-pewter,SW-2848,Roycroft Pewter,neutral-paint-colors,https://www.sherwin-williams.com/en-us/color/color-family/neutral-paint-colors/sw2848-roycroft-pewter,sw2848-roycroft-pewter,SW-2848,Roycroft Pewter,,616564,sw2842-roycroft-suede,SW-2842,Roycroft Suede,"rgb(167,148,115)",A79473
sw2848-roycroft-pewter,SW-2848,Roycroft Pewter,neutral-paint-colors,https://www.sherwin-williams.com/en-us/color/color-family/neutral-paint-colors/sw2848-roycroft-pewter,sw2848-roycroft-pewter,SW-2848,Roycroft Pewter,,616564,sw7595-sommelier,SW-7595,Sommelier,"rgb(93,55,54)",5D3736
sw2848-roycroft-pewter,SW-2848,Roycroft Pewter,neutral-paint-colors,https://www.sherwin-williams.com/en-us/color/color-family/neutral-paint-colors/sw2848-roycroft-pewter,sw2842-roycroft-suede,SW-2842,Roycroft Suede,"rgb(167,148,115)",A79473,sw7595-sommelier,SW-7595,Sommelier,"rgb(93,55,54)",5D3736
sw2849-westchester-gray,SW-2849,Westchester Gray,neutral-paint-colors,https://www.sherwin-williams.com/en-us/color/color-family/neutral-paint-colors/sw2849-westchester-gray,sw2849-westchester-gray,SW-2849,Westchester Gray,,797978,sw2850-chelsea-gray,SW-2850,Chelsea Gray,"rgb(182,183,176)",B6B7B0
sw2849-westchester-gray,SW-2849,Westchester Gray,neutral-paint-colors,https://www.sherwin-williams.com/en-us/color/color-family/neutral-paint-colors/sw2849-westchester-gray,sw2849-westchester-gray,SW-2849,Westchester Gray,,797978,sw2838-polished-mahogany,SW-2838,Polished Mahogany,"rgb(67,39,34)",432722
sw2849-westchester-gray,SW-2849,Westchester Gray,neutral-paint-colors,https://www.sherwin-williams.com/en-us/color/color-family/neutral-paint-colors/sw2849-westchester-gray,sw2850-chelsea-gray,SW-2850,Chelsea Gray,"rgb(182,183,176)",B6B7B0,sw2838-polished-mahogany,SW-2838,Polished Mahogany,"rgb(67,39,34)",432722
sw6176-liveable-green,SW-6176,Liveable Green,neutral-paint-colors,https://www.sherwin-williams.com/en-us/color/color-family/neutral-paint-colors/sw6176-liveable-green,sw6176-liveable-green,SW-6176,Liveable Green,,CECEBD,sw6175-sagey,SW-6175,Sagey,"rgb(226,226,209)",E2E2D1
sw6176-liveable-green,SW-6176,Liveable Green,neutral-paint-colors,https://www.sherwin-williams.com/en-us/color/color-family/neutral-paint-colors/sw6176-liveable-green,sw6176-liveable-green,SW-6176,Liveable Green,,CECEBD,sw8917-shell-white,SW-8917,Shell White,"rgb(240,235,224)",F0EBE0
sw6176-liveable-green,SW-6176,Liveable Green,neutral-paint-colors,https://www.sherwin-williams.com/en-us/color/color-family/neutral-paint-colors/sw6176-liveable-green,sw6176-liveable-green,SW-6176,Liveable Green,,CECEBD,sw9130-evergreen-fog,SW-9130,Evergreen Fog,"rgb(149,151,138)",95978A
sw6176-liveable-green,SW-6176,Liveable Green,neutral-paint-colors,https://www.sherwin-williams.com/en-us/color/color-family/neutral-paint-colors/sw6176-liveable-green,sw6175-sagey,SW-6175,Sagey,"rgb(226,226,209)",E2E2D1,sw8917-shell-white,SW-8917,Shell White,"rgb(240,235,224)",F0EBE0
