name,rgb,sw_code
Exuberant Pink,"rgb(181, 77, 127)",SW6840
Dragon Fruit,"rgb(204, 97, 127)",SW6855
Cherries Jubilee,"rgb(171, 60, 81)",SW6862
Radish,"rgb(164, 46, 65)",SW6861
Heartthrob,"rgb(168, 46, 51)",SW6866
Real Red,"rgb(191, 45, 50)",SW6868
Positive Red,"rgb(173, 44, 52)",SW6871
Teaberry,"rgb(235, 209, 219)",SW6561
Lighthearted Pink,"rgb(237, 213, 221)",SW6568
Priscilla,"rgb(241, 211, 218)",SW6575
Impatiens Petal,"rgb(241, 210, 215)",SW6582
Alyssum,"rgb(242, 213, 215)",SW6589
Bella Pink,"rgb(241, 198, 196)",SW6596
Oleander,"rgb(242, 204, 197)",SW6603
Irresistible,"rgb(227, 192, 207)",SW6562
Childlike,"rgb(232, 192, 207)",SW6569
Azalea Flower,"rgb(239, 192, 203)",SW6576
In the Pink,"rgb(240, 188, 201)",SW6583
Loveable,"rgb(240, 193, 198)",SW6590
Hopeful,"rgb(240, 179, 178)",SW6597
Youthful Coral,"rgb(240, 175, 168)",SW6604
Rosebay,"rgb(203, 154, 173)",SW6563
Haute Pink,"rgb(216, 153, 177)",SW6570
Jaipur Pink,"rgb(227, 146, 161)",SW6577
Cheery,"rgb(235, 146, 163)",SW6584
Amaryllis,"rgb(237, 147, 157)",SW6591
Dishy Coral,"rgb(237, 145, 144)",SW6598
Charisma,"rgb(238, 148, 137)",SW6605
Red Clover,"rgb(184, 126, 147)",SW6564
Cyclamen,"rgb(196, 123, 149)",SW6571
Tuberose,"rgb(212, 124, 140)",SW6578
Coming up Roses,"rgb(221, 119, 136)",SW6585
Grenadine,"rgb(214, 105, 114)",SW6592
Begonia,"rgb(215, 108, 110)",SW6599
Coral Reef,"rgb(217, 118, 108)",SW6606
Grandeur Plum,"rgb(146, 87, 111)",SW6565
Ruby Shade,"rgb(162, 86, 111)",SW6572
Gala Pink,"rgb(176, 75, 99)",SW6579
Eros Pink,"rgb(200, 79, 104)",SW6860
Coral Bells,"rgb(187, 75, 81)",SW6593
Enticing Red,"rgb(183, 78, 79)",SW6600
Red Tomato,"rgb(178, 71, 67)",SW6607
Dynamo,"rgb(149, 61, 104)",SW6841
Juneberry,"rgb(133, 65, 88)",SW6573
Hot,"rgb(172, 67, 98)",SW6843
Heartfelt,"rgb(189, 76, 95)",SW6586
Show Stopper,"rgb(164, 46, 55)",SW7588
Tanager,"rgb(164, 56, 52)",SW6601
Rave Red,"rgb(161, 59, 52)",SW6608
Forward Fuchsia,"rgb(146, 52, 91)",SW6842
Framboise,"rgb(124, 54, 85)",SW6566
Cerise,"rgb(153, 50, 78)",SW6580
Valentine,"rgb(165, 58, 78)",SW6587
Poinsettia,"rgb(157, 55, 60)",SW6594
Antique Red,"rgb(159, 68, 66)",SW7587
Bolero,"rgb(144, 57, 52)",SW7600
Rosebud,"rgb(224, 205, 209)",SW6288
Demure,"rgb(232, 212, 213)",SW6295
Innocence,"rgb(235, 209, 207)",SW6302
Charming Pink,"rgb(237, 211, 210)",SW6309
Rosy Outlook,"rgb(235, 206, 203)",SW6316
Romance,"rgb(235, 207, 195)",SW6323
Quaint Peche,"rgb(234, 205, 193)",SW6330
Delightful,"rgb(210, 182, 190)",SW6289
Fading Rose,"rgb(218, 189, 193)",SW6296
Rose Colored,"rgb(220, 182, 181)",SW6303
Lotus Flower,"rgb(230, 189, 189)",SW6310
Gracious Rose,"rgb(227, 183, 177)",SW6317
Mellow Coral,"rgb(227, 181, 168)",SW6324
Smoky Salmon,"rgb(226, 182, 167)",SW6331
Rosé,"rgb(185, 149, 161)",SW6290
Rose Embroidery,"rgb(199, 158, 162)",SW6297
Pressed Flower,"rgb(195, 147, 147)",SW6304
Memorable Rose,"rgb(207, 138, 141)",SW6311
Resounding Rose,"rgb(205, 142, 137)",SW6318
Constant Coral,"rgb(205, 142, 127)",SW6325
Coral Island,"rgb(206, 147, 130)",SW6332
Moss Rose,"rgb(158, 109, 121)",SW6291
Audrey's Blush,"rgb(174, 128, 135)",SW9001
Carley's Rose,"rgb(168, 115, 118)",SW9002
Rita's Rouge,"rgb(186, 113, 118)",SW9003
Coral Rose,"rgb(195, 127, 122)",SW9004
Coral Clay,"rgb(191, 121, 110)",SW9005
Rojo Dust,"rgb(181, 116, 102)",SW9006
Berry Bush,"rgb(141, 88, 105)",SW6292
Concerto,"rgb(158, 107, 117)",SW6298
Rambling Rose,"rgb(153, 93, 98)",SW6305
Redbud,"rgb(173, 94, 101)",SW6312
Reddish,"rgb(181, 105, 102)",SW6319
Henna Shade,"rgb(179, 103, 93)",SW6326
Foxy,"rgb(168, 94, 83)",SW6333
Fabulous Grape,"rgb(109, 52, 79)",SW6293
Aged Wine,"rgb(137, 84, 96)",SW6299
Cordial,"rgb(134, 76, 82)",SW6306
Kirsch Red,"rgb(151, 73, 83)",SW6313
Bravado Red,"rgb(160, 82, 78)",SW6320
Bold Brick,"rgb(160, 88, 79)",SW6327
Flower Pot,"rgb(143, 68, 56)",SW6334
Blackberry,"rgb(83, 54, 64)",SW7577
Burgundy,"rgb(99, 51, 62)",SW6300
Fine Wine,"rgb(114, 57, 65)",SW6307
Luxurious Red,"rgb(134, 58, 66)",SW6314
Red Bay,"rgb(142, 55, 56)",SW6321
Fireweed,"rgb(123, 55, 48)",SW6328
Fired Brick,"rgb(131, 56, 42)",SW6335
Breathless,"rgb(214, 194, 190)",SW6022
White Truffle,"rgb(215, 200, 194)",SW6029
Unfussy Beige,"rgb(214, 200, 192)",SW6043
Abalone Shell,"rgb(219, 199, 189)",SW6050
Malted Milk,"rgb(222, 202, 189)",SW6057
Reticence,"rgb(217, 205, 195)",SW6064
Simplify Beige,"rgb(214, 199, 185)",SW6085
Insightful Rose,"rgb(201, 176, 171)",SW6023
Artistic Taupe,"rgb(195, 177, 172)",SW6030
Doeskin,"rgb(198, 179, 169)",SW6044
Sashay Sand,"rgb(207, 180, 168)",SW6051
Likeable Sand,"rgb(209, 183, 168)",SW6058
Bona Fide Beige,"rgb(203, 185, 171)",SW6065
Sand Dune,"rgb(197, 177, 162)",SW6086
Dressy Rose,"rgb(184, 157, 154)",SW6024
Glamour,"rgb(182, 160, 154)",SW6031
Emerging Taupe,"rgb(184, 161, 150)",SW6045
Sandbank,"rgb(195, 164, 151)",SW6052
Interface Tan,"rgb(193, 163, 146)",SW6059
Sand Trap,"rgb(187, 165, 149)",SW6066
Trusty Tan,"rgb(181, 159, 143)",SW6087
Rosaline Pearl,"rgb(163, 136, 135)",SW9077
Cocoa Berry,"rgb(160, 136, 130)",SW9078
Velvety Chestnut,"rgb(162, 135, 125)",SW9079
Hushed Auburn,"rgb(168, 133, 122)",SW9080
Redend Point,"rgb(174, 142, 126)",SW9081
Chocolate Powder,"rgb(165, 140, 123)",SW9082
Dusted Truffle,"rgb(156, 131, 115)",SW9083
Socialite,"rgb(144, 118, 118)",SW6025
Dutch Cocoa,"rgb(140, 112, 106)",SW6032
Swing Brown,"rgb(148, 117, 105)",SW6046
Reddened Earth,"rgb(156, 110, 99)",SW6053
Moroccan Spice,"rgb(157, 120, 104)",SW6060
Mocha,"rgb(150, 122, 106)",SW6067
Nuthatch,"rgb(142, 114, 95)",SW6088
River Rouge,"rgb(118, 89, 93)",SW6026
Bateau Brown,"rgb(122, 95, 90)",SW6033
Hot Cocoa,"rgb(128, 98, 87)",SW6047
Canyon Clay,"rgb(133, 89, 79)",SW6054
Tanbark,"rgb(137, 102, 86)",SW6061
Brevity Brown,"rgb(113, 82, 67)",SW6068
Grounded,"rgb(120, 91, 71)",SW6089
Cordovan,"rgb(95, 61, 63)",SW6027
Dark Auburn,"rgb(90, 53, 50)",SW6034
Terra Brun,"rgb(90, 56, 45)",SW6048
Fiery Brown,"rgb(93, 56, 49)",SW6055
Vintage Leather,"rgb(105, 67, 54)",SW6062
French Roast,"rgb(79, 52, 38)",SW6069
Java,"rgb(99, 69, 51)",SW6090
Stop,"rgb(195, 58, 54)",SW6869
Obstinate Orange,"rgb(215, 85, 42)",SW6884
Knockout Orange,"rgb(225, 111, 62)",SW6885
Invigorate,"rgb(228, 114, 55)",SW6886
Navel,"rgb(236, 132, 48)",SW6887
Carnival,"rgb(235, 136, 44)",SW6892
Osage Orange,"rgb(244, 160, 69)",SW6890
