id,name,hex6,url,lrv,r,g,b,hex6_detail,description
8004-28F,Warm Eucalyptus,7C7F70,https://www.valspar.com/en/colors/browse-colors/lowes/green/warm-eucalyptus-8004-28f,21.0,124,127,112,7C7F70,
V143-5,Sage Slate,757A70,https://www.valspar.com/en/colors/browse-colors/independent-retailers/gray/sage-slate-v143-5,18.894,117,122,112,757A70,
4005-1B,Gravity,C3C6C7,https://www.valspar.com/en/colors/browse-colors/lowes/gray/gravity-4005-1b,56.262,195,198,199,C3C6C7,
4003-1B,Filtered Shade,CBC9C4,https://www.valspar.com/en/colors/browse-colors/lowes/gray/filtered-shade-4003-1b,58.446,203,201,196,CBC9C4,
V145-2,Zen Pebble,C6C4BB,https://www.valspar.com/en/colors/browse-colors/independent-retailers/gray/zen-pebble-v145-2,55.082,198,196,187,C6C4BB,
V112-2,Bottlefly Wings,CACED2,https://www.valspar.com/en/colors/browse-colors/independent-retailers/gray/bottlefly-wings-v112-2,61.213,202,206,210,CACED2,
4004-1A,Tempered Gray,D5D3CC,https://www.valspar.com/en/colors/browse-colors/lowes/gray/tempered-gray-4004-1a,64.929,213,211,204,D5D3CC,
4008-1B,Polished Silver,B1B4B2,https://www.valspar.com/en/colors/browse-colors/lowes/gray/polished-silver-4008-1b,45.306,177,180,178,B1B4B2,
V114-2,Tinman,6C767C,https://www.valspar.com/en/colors/browse-colors/independent-retailers/gray/tinman-v114-2,17.618,108,118,124,6C767C,
V118-2,Stately Graystone,A9A8A2,https://www.valspar.com/en/colors/browse-colors/independent-retailers/gray/stately-graystone-v118-2,38.902,169,168,162,A9A8A2,
V120-1,Silver Thistle Down,D1D0CA,https://www.valspar.com/en/colors/browse-colors/independent-retailers/gray/silver-thistle-down-v120-1,62.79,209,208,202,D1D0CA,
4008-1A,Bay Waves,CCCECC,https://www.valspar.com/en/colors/browse-colors/lowes/gray/bay-waves-4008-1a,61.331,204,206,204,CCCECC,
4006-1A,Silver Leaf,CACECE,https://www.valspar.com/en/colors/browse-colors/lowes/gray/silver-leaf-4006-1a,61.02,202,206,206,CACECE,
4003-1A,Seashell Gray,DAD9D4,https://www.valspar.com/en/colors/browse-colors/lowes/gray/seashell-gray-4003-1a,69.245,218,217,212,DAD9D4,
V122-1,New York City Winter,DED9D0,https://www.valspar.com/en/colors/browse-colors/independent-retailers/gray/new-york-city-winter-v122-1,69.877,222,217,208,DED9D0,
V116-3,To the Tarmac,4F5556,https://www.valspar.com/en/colors/browse-colors/independent-retailers/gray/to-the-tarmac-v116-3,8.84,79,85,86,4F5556,
4004-1B,Urban Sunrise,B3B4B0,https://www.valspar.com/en/colors/browse-colors/lowes/gray/urban-sunrise-4004-1b,45.311,179,180,176,B3B4B0,
,Chestnut Brown,,https://www.valspar.com/en/colors/browse-colors/brown/chestnut-brown-895440,,,,,,
V144-3,Simple Gray,B8B8AA,https://www.valspar.com/en/colors/browse-colors/independent-retailers/gray/simple-gray-v144-3,47.417,184,184,170,B8B8AA,
4006-1B,Voyage,B2B8BC,https://www.valspar.com/en/colors/browse-colors/lowes/gray/voyage-4006-1b,47.166,178,184,188,B2B8BC,
,Sedona Red,,https://www.valspar.com/en/colors/browse-colors/red/sedona-red-895434,,,,,,
