name,code,r,g,b,hex,brand,url
"Hint Of Vanilla","0001","238","232","221","#EEE8DD","vista","https://www.vistapaint.com/colors/yellows/1-hint-of-vanilla/"
"Elusive White","0002","233","229","216","#E9E5D8","vista","https://www.vistapaint.com/colors/yellows/2-elusive-white/"
"Nilla Vanilla","0003","241","235","225","#F1EBE1","vista","https://www.vistapaint.com/colors/yellows/3-nilla-vanilla/"
"Child Of Heaven","0004","240","235","225","#F0EBE1","vista","https://www.vistapaint.com/colors/yellows/4-child-of-heaven/"
"Kiara","0005","243","235","220","#F3EBDC","vista","https://www.vistapaint.com/colors/yellows/5-kiara/"
"Little Dove","0006","233","224","207","#E9E0CF","vista","https://www.vistapaint.com/colors/yellows/6-little-dove/"
"Cotton Ball","0007","244","238","223","#F4EEDF","vista","https://www.vistapaint.com/colors/yellows/7-cotton-ball/"
"Casa Blanca","0008","243","236","217","#F3ECD9","vista","https://www.vistapaint.com/colors/yellows/8-casa-blanca/"
"Chapel Wall","0009","241","234","216","#F1EAD8","vista","https://www.vistapaint.com/colors/yellows/9-chapel-wall/"
"Petticoat","0010","238","228","207","#EEE4CF","vista","https://www.vistapaint.com/colors/yellows/10-petticoat/"
"Sugar Dust","0011","246","244","234","#F6F4EA","vista","https://www.vistapaint.com/colors/yellows/11-sugar-dust/"
"Bunny Cake","0012","244","239","227","#F4EFE3","vista","https://www.vistapaint.com/colors/yellows/12-bunny-cake/"
"Sphere","0013","241","231","204","#F1E7CC","vista","https://www.vistapaint.com/colors/yellows/13-sphere/"
"Twill","0014","239","231","211","#EFE7D3","vista","https://www.vistapaint.com/colors/yellows/14-twill/"
"White Glove","0015","247","242","225","#F7F2E1","vista","https://www.vistapaint.com/colors/yellows/15-white-glove/"
"Pumice Stone","0016","247","240","223","#F7F0DF","vista","https://www.vistapaint.com/colors/yellows/16-pumice-stone/"
"Luna Moon","0017","235","232","225","#EBE8E1","vista","https://www.vistapaint.com/colors/neutrals/17-luna-moon/"
"Dove White","0018","227","224","215","#E3E0D7","vista","https://www.vistapaint.com/colors/yellows/18-dove-white/"
"Mystic Fog","0019","233","231","224","#E9E7E0","vista","https://www.vistapaint.com/colors/neutrals/19-mystic-fog/"
"Bonaire","0020","228","224","214","#E4E0D6","vista","https://www.vistapaint.com/colors/yellows/20-bonaire/"
"Barely White","0021","225","226","221","#E1E2DD","vista","https://www.vistapaint.com/colors/neutrals/21-barely-white/"
"White Kitten","0022","223","222","218","#DFDEDA","vista","https://www.vistapaint.com/colors/neutrals/22-white-kitten/"
"Shell Tint","0023","236","240","233","#ECF0E9","vista","https://www.vistapaint.com/colors/neutrals/23-shell-tint/"
"Just About White","0024","231","231","223","#E7E7DF","vista","https://www.vistapaint.com/colors/neutrals/24-just-about-white/"
"Prismatic Pearl","0025","233","231","221","#E9E7DD","vista","https://www.vistapaint.com/colors/yellows/25-prismatic-pearl/"
"Moon Drop","0026","219","212","200","#DBD4C8","vista","https://www.vistapaint.com/colors/yellows/26-moon-drop/"
"White Fence","0027","231","227","217","#E7E3D9","vista","https://www.vistapaint.com/colors/yellows/27-white-fence/"
"Bannister White","0028","225","224","214","#E1E0D6","vista","https://www.vistapaint.com/colors/yellows/28-bannister-white/"
"Cherish Is The Word","0029","229","226","218","#E5E2DA","vista","https://www.vistapaint.com/colors/neutrals/29-cherish-is-the-word/"
