anchor_name,anchor_code,anchor_hex6,friend_name,friend_url,scheme
"Hint Of Vanilla","0001","EEE8DD","Hint of Vanilla","https://www.vistapaint.com/colors/Whites/1-hint-of-vanilla/","1"
"Hint Of Vanilla","0001","EEE8DD","Elusive White","https://www.vistapaint.com/colors/Whites/2-elusive-white/","1"
"Hint Of Vanilla","0001","EEE8DD","Nilla Vanilla","https://www.vistapaint.com/colors/Whites/3-nilla-vanilla/","1"
"Hint Of Vanilla","0001","EEE8DD","Child of Heaven","https://www.vistapaint.com/colors/Whites/4-child-of-heaven/","1"
"Hint Of Vanilla","0001","EEE8DD","Dave’s Den","https://www.vistapaint.com/colors/Neutrals/420-daves-den/","2"
"Hint Of Vanilla","0001","EEE8DD","Hint of Vanilla","https://www.vistapaint.com/colors/Whites/1-hint-of-vanilla/","2"
"Hint Of Vanilla","0001","EEE8DD","Silverado Ranch","https://www.vistapaint.com/colors/Neutrals/421-silverado-ranch/","2"
"Hint Of Vanilla","0001","EEE8DD","Rich Reward","https://www.vistapaint.com/colors/Neutrals/302-rich-reward/","3"
"Hint Of Vanilla","0001","EEE8DD","Hint of Vanilla","https://www.vistapaint.com/colors/Whites/1-hint-of-vanilla/","3"
"Hint Of Vanilla","0001","EEE8DD","Whimsy","https://www.vistapaint.com/colors/Neutrals/100-whimsy/","3"
"Hint Of Vanilla","0001","EEE8DD","Montezuma","https://www.vistapaint.com/colors/Neutrals/377-montezuma/","4"
"Hint Of Vanilla","0001","EEE8DD","Hint of Vanilla","https://www.vistapaint.com/colors/Whites/1-hint-of-vanilla/","4"
"Hint Of Vanilla","0001","EEE8DD","Beetroot","https://www.vistapaint.com/colors/Reds/h0001-beetroot/","4"
"Elusive White","0002","E9E5D8","Hint of Vanilla","https://www.vistapaint.com/colors/Whites/1-hint-of-vanilla/","1"
"Elusive White","0002","E9E5D8","Elusive White","https://www.vistapaint.com/colors/Whites/2-elusive-white/","1"
"Elusive White","0002","E9E5D8","Nilla Vanilla","https://www.vistapaint.com/colors/Whites/3-nilla-vanilla/","1"
"Elusive White","0002","E9E5D8","Child of Heaven","https://www.vistapaint.com/colors/Whites/4-child-of-heaven/","1"
"Elusive White","0002","E9E5D8","Tudor Ice","https://www.vistapaint.com/colors/Blues/h0040-tudor-ice/","2"
"Elusive White","0002","E9E5D8","Elusive White","https://www.vistapaint.com/colors/Whites/2-elusive-white/","2"
"Elusive White","0002","E9E5D8","Grape Soda","https://www.vistapaint.com/colors/Purples/1222-grape-soda/","2"
"Elusive White","0002","E9E5D8","Valentino","https://www.vistapaint.com/colors/Neutrals/46-valentino/","3"
"Elusive White","0002","E9E5D8","Elusive White","https://www.vistapaint.com/colors/Whites/2-elusive-white/","3"
"Elusive White","0002","E9E5D8","Autumn’s Hill","https://www.vistapaint.com/colors/Neutrals/38-autumns-hill/","3"
"Elusive White","0002","E9E5D8","Into the Stratosphere","https://www.vistapaint.com/colors/Blues/627-into-the-stratosphere/","4"
"Elusive White","0002","E9E5D8","Elusive White","https://www.vistapaint.com/colors/Whites/2-elusive-white/","4"
"Elusive White","0002","E9E5D8","Alden Till","https://www.vistapaint.com/colors/Reds/h0004-alden-till/","4"
"Nilla Vanilla","0003","F1EBE1","Hint of Vanilla","https://www.vistapaint.com/colors/Whites/1-hint-of-vanilla/","1"
"Nilla Vanilla","0003","F1EBE1","Elusive White","https://www.vistapaint.com/colors/Whites/2-elusive-white/","1"
"Nilla Vanilla","0003","F1EBE1","Nilla Vanilla","https://www.vistapaint.com/colors/Whites/3-nilla-vanilla/","1"
"Nilla Vanilla","0003","F1EBE1","Child of Heaven","https://www.vistapaint.com/colors/Whites/4-child-of-heaven/","1"
"Nilla Vanilla","0003","F1EBE1","Mohalla","https://www.vistapaint.com/colors/Neutrals/351-mohalla/","2"
"Nilla Vanilla","0003","F1EBE1","Nilla Vanilla","https://www.vistapaint.com/colors/Whites/3-nilla-vanilla/","2"
"Nilla Vanilla","0003","F1EBE1","Sonata","https://www.vistapaint.com/colors/Neutrals/381-sonata/","2"
"Nilla Vanilla","0003","F1EBE1","Shaker Red","https://www.vistapaint.com/colors/Reds/h0007-shaker-red/","3"
"Nilla Vanilla","0003","F1EBE1","Nilla Vanilla","https://www.vistapaint.com/colors/Whites/3-nilla-vanilla/","3"
"Nilla Vanilla","0003","F1EBE1","Impulse","https://www.vistapaint.com/colors/Oranges/989-impulse/","3"
"Nilla Vanilla","0003","F1EBE1","Egg Noodle","https://www.vistapaint.com/colors/Yellows/867-egg-noodle/","4"
"Nilla Vanilla","0003","F1EBE1","Nilla Vanilla","https://www.vistapaint.com/colors/Whites/3-nilla-vanilla/","4"
"Nilla Vanilla","0003","F1EBE1","Greybeard","https://www.vistapaint.com/colors/Neutrals/528-greybeard/","4"
"Child Of Heaven","0004","F0EBE1","Hint of Vanilla","https://www.vistapaint.com/colors/Whites/1-hint-of-vanilla/","1"
"Child Of Heaven","0004","F0EBE1","Elusive White","https://www.vistapaint.com/colors/Whites/2-elusive-white/","1"
"Child Of Heaven","0004","F0EBE1","Nilla Vanilla","https://www.vistapaint.com/colors/Whites/3-nilla-vanilla/","1"
"Child Of Heaven","0004","F0EBE1","Child of Heaven","https://www.vistapaint.com/colors/Whites/4-child-of-heaven/","1"
"Child Of Heaven","0004","F0EBE1","Spacebox","https://www.vistapaint.com/colors/Neutrals/493-spacebox/","2"
"Child Of Heaven","0004","F0EBE1","Child of Heaven","https://www.vistapaint.com/colors/Whites/4-child-of-heaven/","2"
"Child Of Heaven","0004","F0EBE1","Kathleen’s Garden","https://www.vistapaint.com/colors/Neutrals/464-kathleens-garden/","2"
"Child Of Heaven","0004","F0EBE1","Peace of Mind","https://www.vistapaint.com/colors/Oranges/1004-peace-of-mind/","3"
"Child Of Heaven","0004","F0EBE1","Child of Heaven","https://www.vistapaint.com/colors/Whites/4-child-of-heaven/","3"
